"iso3c","year","EquipI","NonequipI"
"KAZ",2013,0.147181158449411,0.0126299355505887
"KAZ",2014,0.166534570541016,0.00925752745898399
"KAZ",2015,0.180299434280317,0.0103688057196831
"KAZ",2016,0.183264936271746,0.0107289447282544
"KAZ",2017,0.182685566982791,0.0105354360172093
"KEN",1980,0.171278482326076,0.00828338567392411
"KEN",1981,0.150107460469808,0.0069752165301921
"KEN",1982,0.104927536554259,0.00404496044574134
"KEN",1983,0.0790023969183873,0.00320894108161269
"KEN",1984,0.0689731470799439,0.00283950492005609
"KEN",1985,0.0831547063467396,0.00380655565326043
"KEN",1986,0.0659052141219862,0.00335471287801378
"KEN",1987,0.0781300255888549,0.00418870541114515
"KEN",1988,0.0832383314520609,0.00399026454793911
"KEN",1989,0.0873222973637678,0.00397962063623217
"KEN",1990,0.07896669362952,0.00370456837048005
"KEN",1991,0.0724756268778548,0.00317318012214523
"KEN",1992,0.0689967103840168,0.00293389961598318
"KEN",1993,0.0694880913171905,0.00330081768280946
"KEN",1994,0.0671229860858354,0.0046742059141646
"KEN",1995,0.0813471262005088,0.00558273179949121
"KEN",1996,0.0845661716060196,0.00510272039398036
"KEN",1997,0.0886234820551441,0.00513162894485592
"KEN",1998,0.104247428876154,0.00603397912384571
"KEN",1999,0.0937476007226023,0.00543119027739771
"KEN",2000,0.107330190381279,0.00521775161872145
"KEN",2001,0.114074862336066,0.00798687466393406
"KEN",2002,0.094372446900084,0.00556110309991601
"KEN",2003,0.103634158671861,0.0053826253281389
"KEN",2004,0.102905719362584,0.00714091363741604
"KEN",2005,0.107951737939692,0.00623381906030797
"KEN",2006,0.121038136517774,0.00767736348222613
"KEN",2007,0.124030429354321,0.00805371664567889
"KEN",2008,0.142307732583896,0.00894623541610364
"KEN",2009,0.150894314676236,0.00868283132376396
"KEN",2010,0.156852513727055,0.0091349182729449
"KEN",2011,0.158848710235061,0.0107157757649385
"KEN",2012,0.159943801535218,0.0110377694647817
"KEN",2013,0.148615370133636,0.0097410278663644
"KEN",2014,0.156874546716015,0.00916402628398536
"KEN",2015,0.150063570706248,0.00924134629375229
"KEN",2016,0.123825618392255,0.00927356460774497
"KEN",2017,0.131673931181278,0.00918707381872195
"KGZ",1980,NA,NA
"KGZ",1981,NA,NA
"KGZ",1982,NA,NA
"KGZ",1983,NA,NA
"KGZ",1984,NA,NA
"KGZ",1985,NA,NA
"KGZ",1986,NA,NA
"KGZ",1987,NA,NA
"KGZ",1988,NA,NA
"KGZ",1989,NA,NA
"KGZ",1990,0.0827089338183563,3.96211816437025e-05
"KGZ",1991,0.0755905726680106,3.00483319894074e-05
"KGZ",1992,0.100223603682487,1.36843175133415e-05
"KGZ",1993,0.0585592589547705,2.16704522951679e-06
"KGZ",1994,0.0479157389638451,3.02803615494279e-06
"KGZ",1995,0.105574128234443,8.4737655569771e-06
"KGZ",1996,0.115318031442943,1.38865570573909e-05
"KGZ",1997,0.132105545687083,4.14093129169577e-05
"KGZ",1998,0.0930721878650819,3.8254134918105e-05
"KGZ",1999,0.111681191604516,0.000146070395484084
"KGZ",2000,0.133396065441639,0.000203066558360981
"KGZ",2001,0.123889255672217,0.000226137327783393
"KGZ",2002,0.112143969744362,0.000203149255637819
"KGZ",2003,0.0716849620604923,0.000117735939507662
"KGZ",2004,0.074981842687532,0.00489487831246802
"KGZ",2005,0.0810546253907906,0.00423073260920942
"KGZ",2006,0.106030112299455,0.0056051407005454
"KGZ",2007,0.107061293950821,0.00386782304917852
"KGZ",2008,0.106374117838744,0.00291004516125645
"KGZ",2009,0.0985641784215355,0.00202263857846444
"KGZ",2010,0.0921177441091341,0.00256184989086591
"KGZ",2011,0.0784143785855794,0.00206797741442058
"KGZ",2012,0.124597024357621,0.00289172264237911
"KGZ",2013,0.127000699373935,0.00292411962606459
"KGZ",2014,0.120405288044951,0.00249583895504855
"KGZ",2015,0.0954847279472484,0.0020020060527516
"KGZ",2016,0.0653053066889958,0.00123659631100421
"KGZ",2017,0.0675663924021112,0.00199403859788881
"KHM",1980,0.0805928238061127,2.90019388726709e-06
"KHM",1981,0.0813050786496998,3.15935030021551e-06
"KHM",1982,0.0818729523425252,3.33265747479391e-06
"KHM",1983,0.0805188027292941,3.37727070591266e-06
"KHM",1984,0.0800811582229848,3.48577701515661e-06
"KHM",1985,0.0806720462918266,3.8017081734211e-06
"KHM",1986,0.0790727070130857,4.05298691425804e-06
"KHM",1987,0.115695370985205,8.77801479467898e-06
"KHM",1988,0.0793628917918995,3.65820810049526e-06
"KHM",1989,0.0554886397126881,3.79828731186792e-06
"KHM",1990,0.0556206141313316,3.92686866842051e-06
"KHM",1991,0.0710441459056465,5.17909435348524e-06
"KHM",1992,0.0580911214191529,4.21458084713772e-06
"KHM",1993,0.0989204221593204,7.5078406796003e-06
"KHM",1994,0.0856409159532479,1.36260467520863e-05
"KHM",1995,0.107971619086159,5.59209138410586e-05
"KHM",1996,0.116037719418931,0.000152460581068916
"KHM",1997,0.123393701921364,0.000246411078636257
"KHM",1998,0.0965053036694347,0.000292453330565342
"KHM",1999,0.140520403831444,0.000464623168556024
"KHM",2000,0.149168340856008,0.000554220143991721
"KHM",2001,0.167841213318128,0.000744832681872363
"KHM",2002,0.162215262716143,0.000706270283856709
"KHM",2003,0.180196729229766,0.000875788770233735
"KHM",2004,0.154154450194787,0.00150583680521253
"KHM",2005,0.167400420538585,0.00186096046141498
"KHM",2006,0.189098868462701,0.00169127853729942
"KHM",2007,0.184427877131545,0.00159649086845541
"KHM",2008,0.190349634471303,0.00184880552869654
"KHM",2009,0.198865922204262,0.00223521679573829
"KHM",2010,0.168030218094274,0.00184570190572608
"KHM",2011,0.16407911669025,0.00181768630975017
"KHM",2012,0.173875628262256,0.00179547273774428
"KHM",2013,0.169992540205665,0.00334316079433527
"KHM",2014,0.178684073062325,0.00332057193767519
"KHM",2015,0.174047395604364,0.00333224239563556
"KHM",2016,0.189297906696325,0.0036952573036751
"KHM",2017,0.190351544969399,0.00383287703060086
"KNA",1980,0.203464495294554,0.000517246705446351
"KNA",1981,0.153184292540312,0.000391560459687975
"KNA",1982,0.174143508214317,0.000469386785683314
"KNA",1983,0.179124278421926,0.000484692578073721
"KNA",1984,0.145919616832614,0.000448395167386159
"KNA",1985,0.159489416795436,0.00050046220456446
"KNA",1986,0.1369537369332,0.000506525066799643
"KNA",1987,0.167631615151746,0.000919635848254291
"KNA",1988,0.321969034330943,0.000979451669057184
"KNA",1989,0.325517664384003,0.0011572436159968
"KNA",1990,0.2878978939228,0.000984093077199576
"KNA",1991,0.211956555407535,0.000898738592464927
"KNA",1992,0.211698092596963,0.0010740384030372
"KNA",1993,0.26711052723081,0.00145128276918971
"KNA",1994,0.197643450942535,0.00173056905746508
