"iso3c","year","Top10share","Top1share"
"BDI",1997,0.4878268032,0.1654180842
"BDI",1998,0.5010029466,0.1738500387
"BDI",1999,0.4936897059,0.1678889052
"BDI",2000,0.4863764573,0.1619277675
"BDI",2001,0.4790632099,0.1559666198
"BDI",2002,0.4717499695,0.1500054846
"BDI",2003,0.4644367342,0.1440443509
"BDI",2004,0.4571234801,0.1380832021
"BDI",2005,0.4498102391,0.1321220664
"BDI",2006,0.4424970046,0.1261609335
"BDI",2007,0.4475079817,0.1289215224
"BDI",2008,0.4525189626,0.1316821112
"BDI",2009,0.4575299388,0.1344427011
"BDI",2010,0.4625409339,0.1372033041
"BDI",2011,0.4675519124,0.1399638907
"BDI",2012,0.4725628946,0.1427244809
"BDI",2013,0.4775738753,0.1454850695
"BDI",2014,0.4775738753,0.1454850695
"BDI",2015,0.4775738753,0.1454850695
"BDI",2016,0.4775738753,0.1454850695
"BDI",2017,0.4775738753,0.1454850695
"BEL",1960,NA,NA
"BEL",1961,NA,NA
"BEL",1962,NA,NA
"BEL",1963,NA,NA
"BEL",1964,NA,NA
"BEL",1965,NA,NA
"BEL",1966,NA,NA
"BEL",1967,NA,NA
"BEL",1968,NA,NA
"BEL",1969,NA,NA
"BEL",1970,NA,NA
"BEL",1971,NA,NA
"BEL",1972,NA,NA
"BEL",1973,NA,NA
"BEL",1974,NA,NA
"BEL",1975,NA,NA
"BEL",1976,NA,NA
"BEL",1977,NA,NA
"BEL",1978,NA,NA
"BEL",1979,NA,NA
"BEL",1980,NA,NA
"BEL",1981,NA,NA
"BEL",1982,NA,NA
"BEL",1983,NA,NA
"BEL",1984,NA,NA
"BEL",1985,NA,NA
"BEL",1986,NA,NA
"BEL",1987,NA,NA
"BEL",1988,NA,NA
"BEL",1989,NA,NA
"BEL",1990,0.28999999,0.068599999
"BEL",1991,0.28600001,0.066100001
"BEL",1992,0.2825,0.063600004
"BEL",1993,0.2834,0.064000003
"BEL",1994,0.2915,0.068999998
"BEL",1995,0.28799999,0.0678
"BEL",1996,0.2911,0.071099997
"BEL",1997,0.2899,0.069300003
"BEL",1998,0.2877,0.068300001
"BEL",1999,0.28760001,0.069200002
"BEL",2000,0.28560001,0.068499997
"BEL",2001,0.28279999,0.0691
"BEL",2002,0.27700001,0.064099997
"BEL",2003,0.2748,0.062799998
"BEL",2004,0.2764,0.064900003
"BEL",2005,0.27919999,0.065300003
"BEL",2006,0.25960001,0.0592
