"iso3c","year","kaopen"
"LBR",1996,-0.591379940509796
"LBR",1997,-0.335076302289963
"LBR",1998,0.627759397029877
"LBR",1999,2.09040427207947
"LBR",2000,2.34670782089233
"LBR",2001,2.34670782089233
"LBR",2002,2.34670782089233
"LBR",2003,2.34670782089233
"LBR",2004,2.34670782089233
"LBR",2005,2.34670782089233
"LBR",2006,2.34670782089233
"LBR",2007,2.34670782089233
"LBR",2008,2.34670782089233
"LBR",2009,2.34670782089233
"LBR",2010,2.34670782089233
"LBR",2011,2.34670782089233
"LBR",2012,2.34670782089233
"LBR",2013,2.34670782089233
"LBR",2014,2.34670782089233
"LBR",2015,2.34670782089233
"LBR",2016,1.14036655426025
"LBR",2017,1.14036655426025
"LBY",1980,-0.141151502728462
"LBY",1981,-0.141151502728462
"LBY",1982,-1.21001923084259
"LBY",1983,-1.21001923084259
"LBY",1984,-1.21001923084259
"LBY",1985,-1.21001923084259
"LBY",1986,-1.21001923084259
"LBY",1987,-1.21001923084259
"LBY",1988,-1.21001923084259
"LBY",1989,-1.21001923084259
"LBY",1990,-1.21001923084259
"LBY",1991,-1.21001923084259
"LBY",1992,-1.21001923084259
"LBY",1993,-1.21001923084259
"LBY",1994,-1.21001923084259
"LBY",1995,-1.21001923084259
"LBY",1996,-1.21001923084259
"LBY",1997,-1.21001923084259
"LBY",1998,-1.21001923084259
"LBY",1999,-1.91655135154724
"LBY",2000,-1.91655135154724
"LBY",2001,-1.21001923084259
"LBY",2002,-1.21001923084259
"LBY",2003,-1.21001923084259
"LBY",2004,-1.21001923084259
"LBY",2005,-1.21001923084259
"LBY",2006,-1.21001923084259
"LBY",2007,-1.21001923084259
"LBY",2008,-1.21001923084259
"LBY",2009,-1.21001923084259
"LBY",2010,-1.21001923084259
"LBY",2011,-1.21001923084259
"LBY",2012,-1.21001923084259
"LBY",2013,-1.21001923084259
"LBY",2014,-1.21001923084259
"LBY",2015,-1.21001923084259
"LBY",2016,-1.21001923084259
"LBY",2017,-1.21001923084259
"MDG",1980,-1.21001923084259
"MDG",1981,-1.21001923084259
"MDG",1982,-1.21001923084259
"MDG",1983,-1.21001923084259
"MDG",1984,-1.21001923084259
"MDG",1985,-1.21001923084259
"MDG",1986,-1.21001923084259
"MDG",1987,-1.21001923084259
"MDG",1988,-1.21001923084259
"MDG",1989,-1.21001923084259
"MDG",1990,-1.21001923084259
"MDG",1991,-1.21001923084259
"MDG",1992,-1.21001923084259
"MDG",1993,-1.21001923084259
"MDG",1994,-1.21001923084259
"MDG",1995,-1.21001923084259
"MDG",1996,-1.21001923084259
"MDG",1997,-0.141151502728462
"MDG",1998,-0.141151502728462
"MDG",1999,-0.141151502728462
"MDG",2000,-0.141151502728462
"MDG",2001,-0.141151502728462
"MDG",2002,-0.141151502728462
"MDG",2003,-0.141151502728462
"MDG",2004,-0.141151502728462
"MDG",2005,-0.141151502728462
"MDG",2006,-0.141151502728462
"MDG",2007,-0.141151502728462
"MDG",2008,-0.141151502728462
"MDG",2009,-0.141151502728462
"MDG",2010,-0.847683548927307
"MDG",2011,-0.847683548927307
"MDG",2012,-0.847683548927307
"MDG",2013,-0.141151502728462
