"year","iso3c","EFW","GovSize","LegalSystem","SoundMoney","TradeFreedom","Regulation"
2006,"BHS","7.469953757","8.230081432","6.630718868","6.664723651","6.600019513","9.224225319"
2005,"BHS","7.525279979","8.061198184","6.952639662","6.815572557","6.748361102","9.048628392"
2004,"BHS","7.555098407","8.136836322","6.842349962","7.207948827","6.693913174","8.894443752"
2003,"BHS","7.474341373","8.170175576","6.720373495","7.1976623","6.511853424","8.771642069"
2002,"BHS","7.270142632","8.14231591","5.786907421","7.203230634","6.529243454","8.689015742"
2001,"BHS","7.240967123","8.217736201","5.766688177","6.985292184","6.595558688","8.639560365"
2000,"BHS","7.121503507","7.78594326","5.746329832","6.870632857","6.636340323","8.568271265"
1995,"BHS","6.821598563","8.191426684","4.700512557","7.045849693","5.556419062","8.520424225"
1990,"BHS","6.852455896","8.507926335","5.157891124","7.015940237","4.798917246","8.452421727"
1985,"BHS","6.734365133","8.471753919","5.175166419","6.474758858","5.05929656","8.250869695"
1980,"BHS","6.690683916","8.447852015","","6.249942982","4.550853351","7.925618479"
2017,"BHR","7.352311762","6.965791224","5.218018977","9.364189577","7.416638186","7.796920848"
2016,"BHR","7.223411427","6.695859148","5.265601627","9.403042626","7.403403472","7.349150264"
2015,"BHR","7.114082622","5.455789566","5.265601604","9.182060969","7.425336752","8.241624217"
2014,"BHR","7.180085385","5.885270912","5.009798196","9.119477868","7.576394674","8.309485276"
2013,"BHR","7.145305993","5.870925111","4.824728756","8.711648195","7.674439695","8.644788207"
2012,"BHR","7.131395039","5.741465815","4.838473889","8.605567457","7.699911293","8.771556742"
2011,"BHR","7.374559633","6.223818757","5.232789497","8.545772855","7.888739197","8.981677856"
2010,"BHR","7.266502001","5.986578814","5.376333813","8.392210732","7.977541696","8.599844949"
2009,"BHR","7.236435773","6.204018751","5.195679208","8.26035398","7.921538918","8.600588006"
2008,"BHR","7.422643987","6.41872153","5.239073753","9.089656308","7.758144128","8.607624218"
2007,"BHR","7.513292249","6.616169252","5.178467888","9.120890119","7.902417953","8.748516032"
2006,"BHR","7.285485047","6.024867602","4.975062267","9.020876292","7.882204131","8.524414945"
2005,"BHR","7.15156684","6.312159928","4.61957298","8.816727189","7.699867415","8.309506688"
2004,"BHR","7.101433074","6.338399728","4.564842165","8.723286812","7.643745255","8.236891408"
2003,"BHR","7.136045863","5.891693701","4.761775055","8.781882074","7.948187483","8.296691004"
2002,"BHR","7.071420022","5.527823212","4.799864409","8.772299899","7.928657656","8.328454935"
2001,"BHR","7.050255673","5.667065971","4.771954301","8.803783415","7.896834562","8.111640115"
2000,"BHR","7.230097342","6.252481014","4.743536505","9.118771385","7.892903711","8.142794098"
1995,"BHR","6.660351953","5.236716566","4.784841161","9.432019175","6.366038509","7.661554239"
1990,"BHR","6.379905937","5.009246161","4.12966553","8.785403171","6.425560551","7.763060156"
1985,"BHR","6.427408655","5.083694903","4.14329797","8.604164834","6.505214179","8.001510138"
1980,"BHR","7.163105107","6.154175103","","8.098390275","6.462019936","8.137530602"
2017,"BGD","6.201218128","8.150677468","3.143982006","6.978679135","5.954579092","6.77817294"
2016,"BGD","6.213307385","8.069292956","3.234259181","6.983616746","5.981594801","6.797773241"
2015,"BGD","6.234923742","8.327064237","3.01713395","7.02942331","5.966973387","6.834023827"
2014,"BGD","6.229393522","8.400942909","2.739599384","7.021055325","6.034435414","6.950934578"
2013,"BGD","6.298705655","8.396795415","2.732879764","6.75422409","6.72471809","6.884910917"
2012,"BGD","6.117847515","8.181812851","2.934993659","6.71569958","6.044153009","6.712578476"
2011,"BGD","6.202998737","8.360298607","3.234701136","6.488340822","6.053917901","6.877735216"
2010,"BGD","6.219732956","8.378811189","3.273373282","6.483123823","6.035643025","6.927713459"
2009,"BGD","6.22839178","8.379741166","3.266870632","6.735159813","5.931278692","6.828908596"
2008,"BGD","6.0165204","8.170923002","2.851093913","6.386137154","5.983191809","6.691256124"
2007,"BGD","6.008027471","8.196921123","2.755089422","6.378275802","6.083485196","6.626365813"
2006,"BGD","6.057810032","8.2065654","2.798929433","6.603316075","6.103196049","6.577043205"
2005,"BGD","5.918615701","8.0025468","2.629260404","6.648009093","5.766273464","6.546988746"
2004,"BGD","5.602618143","7.542037739","2.197431179","6.739156975","5.581953098","5.952511722"
2003,"BGD","5.707102482","7.589501953","2.199035015","6.89225408","5.808734282","6.04598708"
2002,"BGD","5.770114669","7.562766952","2.454559426","6.931705251","5.740920555","6.160621164"
2001,"BGD","5.704245791","7.562766952","2.324677741","6.974512164","5.687682986","5.971589115"
2000,"BGD","5.794745562","7.562766952","2.500852227","7.021897458","5.754772863","6.13343831"
1995,"BGD","5.244744488","7.561780632","3.704419692","6.423059789","2.205167923","5.531299104"
1990,"BGD","4.402775509","6.903334056","1.680599618","6.949984934","0.243957769","5.764916007"
1985,"BGD","3.535218984","4.272882099","1.694498283","6.092913401","0","5.184194641"
1980,"BGD","3.229049921","4.235339829","1.7476301","4.641838773","0","4.907903861"
2017,"BRD","6.469588488","6.270940661","5.884425093","6.156693723","6.955068799","7.080814163"
