"iso3c","value","year"
"MUS","30.5",2005
"MYT","18.3",2005
"MOZ","17.3",2005
"REU","29.0",2005
"RWA","18.1",2005
"SYC","28.9",2005
"SOM","16.1",2005
"SSD","17.7",2005
"UGA","15.2",2005
"TZA","17.4",2005
"ZMB","16.3",2005
"ZWE","18.3",2005
"AGO","16.4",2005
"CMR","17.6",2005
"CAF","18.0",2005
"TCD","15.4",2005
"COG","18.9",2005
"COD","17.0",2005
"GNQ","20.6",2005
"GAB","20.0",2005
"STP","17.6",2005
"BWA","21.0",2005
"SWZ","18.5",2005
"LSO","20.3",2005
"NAM","19.5",2005
"ZAF","23.8",2005
"BEN","17.6",2005
"BFA","16.6",2005
"CPV","19.8",2005
"CIV","17.8",2005
"GMB","16.7",2005
"GHA","19.2",2005
"GIN","16.4",2005
"GNB","17.6",2005
"LBR","18.4",2005
"MLI","16.5",2005
"MRT","18.5",2005
"NER","15.4",2005
"NGA","18.0",2005
"SEN","17.8",2005
"SLE","17.9",2005
"TGO","18.3",2005
"DZA","24.1",2005
"EGY","22.5",2005
"LBY","24.0",2005
"MAR","24.5",2005
"SDN","18.1",2005
"TUN","27.2",2005
"ESH","24.2",2005
"ARM","31.8",2005
"AZE","27.1",2005
"BHR","27.8",2005
"CYP","32.9",2005
"GEO","35.9",2005
"IRQ","18.7",2005
"ISR","28.7",2005
"JOR","20.6",2005
"KWT","28.2",2005
"LBN","25.6",2005
"OMN","22.9",2005
"QAT","31.0",2005
"SAU","23.7",2005
"PSE","17.0",2005
"SYR","19.6",2005
"TUR","26.6",2005
"ARE","29.7",2005
"YEM","16.6",2005
"KAZ","28.6",2005
"KGZ","23.8",2005
"TJK","19.8",2005
"TKM","23.0",2005
"UZB","22.8",2005
"AFG","16.0",2005
"BGD","22.5",2005
"BTN","21.4",2005
"IND","23.8",2005
"IRN","24.1",2005
"MDV","22.2",2005
"NPL","20.2",2005
"PAK","19.6",2005
"LKA","29.0",2005
"CHN","32.6",2005
"HKG","39.1",2005
"MAC","34.4",2005
"PRK","31.5",2005
"JPN","43.0",2005
"MNG","24.0",2005
"KOR","34.8",2005
"BRN","26.8",2005
"KHM","20.4",2005
"IDN","25.6",2005
"LAO","19.1",2005
"MYS","25.0",2005
"MMR","24.5",2005
"PHL","21.3",2005
"SGP","36.4",2005
"THA","32.8",2005
"TLS","17.6",2005
"VNM","26.4",2005
"ATG","29.5",2005
"ABW","36.2",2005
"BHS","28.1",2005
"BRB","35.5",2005
"CUB","35.6",2005
"CUW","37.8",2005
"DOM","23.7",2005
"GRD","26.0",2005
"GLP","35.6",2005
"HTI","20.3",2005
"JAM","26.2",2005
"MTQ","37.4",2005
"PRI","33.4",2005
"LCA","26.1",2005
"VCT","26.3",2005
"TTO","29.8",2005
"VIR","36.5",2005
"BLZ","20.3",2005
"CRI","27.2",2005
"SLV","23.0",2005
"GTM","18.5",2005
"HND","19.3",2005
"MEX","24.7",2005
"NIC","21.1",2005
"PAN","25.9",2005
"ARG","28.5",2005
"BOL","21.9",2005
"BRA","27.1",2005
"CHL","30.5",2005
"COL","25.7",2005
"ECU","23.7",2005
"GUF","23.5",2005
"GUY","23.1",2005
"PRY","21.7",2005
"PER","24.1",2005
"SUR","25.5",2005
"URY","32.7",2005
"VEN","24.5",2005
"AUS","36.5",2005
"NZL","35.5",2005
"FJI","25.3",2005
"NCL","28.6",2005
"PNG","20.4",2005
"SLB","19.1",2005
"VUT","19.8",2005
"GUM","28.3",2005
"KIR","20.7",2005
"FSM","19.5",2005
"PYF","27.1",2005
"WSM","20.3",2005
"TON","21.0",2005
"BLR","38.1",2005
"BGR","41.1",2005
"CZE","38.7",2005
"HUN","39.1",2005
"POL","36.6",2005
"MDA","32.4",2005
"ROU","37.1",2005
"RUS","37.3",2005
"SVK","35.4",2005
"UKR","39.1",2005
"DNK","39.6",2005
"EST","39.4",2005
"FIN","40.9",2005
"ISL","34.3",2005
"IRL","33.2",2005
"LVA","39.5",2005
"LTU","38.5",2005
"NOR","38.0",2005
"SWE","40.3",2005
"GBR","38.7",2005
"ALB","29.1",2005
"BIH","36.9",2005
"HRV","40.5",2005
"GRC","39.4",2005
"ITA","41.9",2005
"MLT","38.4",2005
"MNE","35.0",2005
"MKD","34.0",2005
"PRT","39.4",2005
"SRB","37.2",2005
"SVN","40.1",2005
"ESP","39.1",2005
"AUT","40.0",2005
"BEL","40.3",2005
"FRA","38.9",2005
"DEU","42.1",2005
"LUX","38.5",2005
"NLD","39.0",2005
"CHE","40.0",2005
"CAN","38.6",2005
"USA","36.1",2005
"BDI","17.0",2010
"COM","19.1",2010
"DJI","23.4",2010
"ERI","19.8",2010
"ETH","17.3",2010
"KEN","18.1",2010
"MDG","18.0",2010
"MWI","16.6",2010
"MUS","32.9",2010
"MYT","18.5",2010
"MOZ","17.0",2010
"REU","31.6",2010
"RWA","18.9",2010
"SYC","31.3",2010
"SOM","15.9",2010
"SSD","18.0",2010
"UGA","15.4",2010
"TZA","17.4",2010
"ZMB","16.2",2010
"ZWE","18.6",2010
"AGO","16.4",2010
"CMR","17.9",2010
"CAF","17.7",2010
"TCD","15.6",2010
"COG","19.2",2010
"COD","16.9",2010
"GNQ","21.5",2010
"GAB","21.2",2010
"STP","18.3",2010
"BWA","22.2",2010
"SWZ","19.0",2010
"LSO","21.7",2010
"NAM","20.5",2010
"ZAF","25.0",2010
"BEN","17.9",2010
"BFA","16.7",2010
"CPV","22.6",2010
"CIV","17.9",2010
"GMB","17.1",2010
"GHA","20.0",2010
"GIN","16.7",2010
"GNB","18.1",2010
"LBR","18.5",2010
"MLI","16.2",2010
"MRT","19.1",2010
"NER","15.0",2010
"NGA","17.9",2010
"SEN","18.0",2010
"SLE","18.2",2010
"TGO","18.5",2010
"DZA","26.0",2010
"EGY","23.7",2010
"LBY","25.7",2010
"MAR","26.4",2010
"SDN","18.3",2010
"TUN","29.3",2010
"ESH","25.5",2010
"ARM","32.9",2010
"AZE","28.7",2010
"BHR","30.1",2010
"CYP","33.9",2010
"GEO","37.0",2010
"IRQ","18.8",2010
"ISR","30.1",2010
"JOR","21.3",2010
"KWT","29.5",2010
"LBN","27.8",2010
"OMN","26.2",2010
"QAT","31.6",2010
"SAU","26.0",2010
"PSE","18.2",2010
"SYR","21.1",2010
"TUR","28.3",2010
"ARE","31.8",2010
"YEM","17.9",2010
"KAZ","28.9",2010
"KGZ","24.0",2010
"TJK","21.3",2010
"TKM","24.4",2010
"UZB","24.5",2010
"AFG","15.9",2010
"BGD","24.0",2010
"BTN","23.3",2010
"IND","25.1",2010
"IRN","27.0",2010
"MDV","24.9",2010
"NPL","21.7",2010
"PAK","20.7",2010
"LKA","30.4",2010
"CHN","35.0",2010
"HKG","41.2",2010
"MAC","36.3",2010
"PRK","33.0",2010
"JPN","44.7",2010
"MNG","25.7",2010
"KOR","38.0",2010
"BRN","27.5",2010
"KHM","22.7",2010
"IDN","27.2",2010
"LAO","20.7",2010
"MYS","26.0",2010
"MMR","26.1",2010
"PHL","23.1",2010
"SGP","37.9",2010
"THA","35.5",2010
"TLS","18.2",2010
"VNM","28.5",2010
"ATG","31.1",2010
"ABW","38.4",2010
"BHS","29.4",2010
"BRB","37.3",2010
"CUB","38.4",2010
"CUW","39.6",2010
"DOM","25.0",2010
"GRD","29.2",2010
"GLP","38.6",2010
"HTI","21.5",2010
"JAM","27.5",2010
"MTQ","40.5",2010
"PRI","34.7",2010
"LCA","30.3",2010
"VCT","29.2",2010
"TTO","31.9",2010
"VIR","39.2",2010
"BLZ","21.9",2010
"CRI","29.1",2010
"SLV","24.2",2010
"GTM","19.7",2010
"HND","20.7",2010
"MEX","26.2",2010
"NIC","22.9",2010
"PAN","27.2",2010
"ARG","29.6",2010
"BOL","22.9",2010
"BRA","29.2",2010
"CHL","32.2",2010
"COL","27.5",2010
"ECU","25.0",2010
"GUF","24.6",2010
"GUY","24.5",2010
"PRY","23.1",2010
"PER","25.5",2010
"SUR","26.7",2010
"URY","33.9",2010
"VEN","25.8",2010
"AUS","36.8",2010
"NZL","36.6",2010
"FJI","26.5",2010
"NCL","30.6",2010
"PNG","20.9",2010
"SLB","19.5",2010
"VUT","21.2",2010
"GUM","29.2",2010
"KIR","21.6",2010
"FSM","21.5",2010
"PYF","29.2",2010
"WSM","20.8",2010
"TON","21.2",2010
"BLR","38.9",2010
"BGR","42.3",2010
"CZE","39.6",2010
"HUN","40.1",2010
"POL","38.1",2010
"MDA","34.2",2010
"ROU","39.4",2010
"RUS","38.0",2010
"SVK","37.3",2010
"UKR","39.5",2010
"DNK","40.6",2010
"EST","40.2",2010
