"year","EducIndex","iso3c"
1992,0.4,"EGY"
1992,0.396,"SLV"
1992,NA,"GNQ"
1992,NA,"ERI"
1992,0.683,"EST"
1992,0.413,"SWZ"
1992,NA,"ETH"
1992,0.647,"FJI"
1992,0.703,"FIN"
1992,0.67,"FRA"
1992,0.487,"GAB"
1992,0.194,"GMB"
1992,NA,"GEO"
1992,0.715,"DEU"
1992,0.386,"GHA"
1992,0.623,"GRC"
1992,NA,"GRD"
1992,0.294,"GTM"
1992,0.129,"GIN"
1992,NA,"GNB"
1992,0.517,"GUY"
1992,0.299,"HTI"
1992,0.362,"HND"
1992,0.65,"HKG"
1992,0.623,"HUN"
1992,0.722,"ISL"
1992,0.324,"IND"
1992,0.394,"IDN"
1992,0.432,"IRN"
1992,0.38,"IRQ"
1992,0.675,"IRL"
1992,0.74,"ISR"
1992,0.62,"ITA"
1992,0.519,"JAM"
1992,0.702,"JPN"
1992,0.561,"JOR"
1992,0.627,"KAZ"
1992,0.383,"KEN"
1992,NA,"KIR"
1992,0.694,"KOR"
1992,0.382,"KWT"
1992,0.615,"KGZ"
1992,0.299,"LAO"
1992,0.613,"LVA"
1992,NA,"LBN"
1992,0.419,"LSO"
1992,NA,"LBR"
1992,0.537,"LBY"
1992,NA,"LIE"
1992,0.651,"LTU"
1992,0.618,"LUX"
1992,NA,"MDG"
1992,0.271,"MWI"
1992,0.511,"MYS"
1992,NA,"MDV"
1992,0.091,"MLI"
1992,0.614,"MLT"
1992,NA,"MHL"
1992,0.195,"MRT"
1992,0.497,"MUS"
1992,0.487,"MEX"
1992,NA,"FSM"
1992,0.596,"MDA"
1992,0.504,"MNG"
1992,NA,"MNE"
1992,0.264,"MAR"
1992,0.134,"MOZ"
1992,0.286,"MMR"
1992,0.508,"NAM"
1992,0.291,"NPL"
1992,0.756,"NLD"
1992,0.807,"NZL"
1992,0.375,"NIC"
1992,0.086,"NER"
1992,NA,"NGA"
1992,0.792,"NOR"
1992,NA,"OMN"
1992,0.215,"PAK"
1992,NA,"PLW"
1992,NA,"PSE"
1992,0.552,"PAN"
1992,0.221,"PNG"
1992,0.452,"PRY"
1992,0.555,"PER"
1992,0.527,"PHL"
1992,0.676,"POL"
1992,0.573,"PRT"
1992,0.502,"QAT"
1992,0.6,"ROU"
1992,0.662,"RUS"
1992,0.226,"RWA"
1992,NA,"KNA"
1992,NA,"LCA"
1992,NA,"VCT"
1992,0.588,"WSM"
1992,0.339,"STP"
1992,0.502,"SAU"
1992,0.199,"SEN"
1992,0.626,"SRB"
1992,NA,"SYC"
1992,0.194,"SLE"
1992,0.519,"SGP"
1992,0.693,"SVK"
1992,0.709,"SVN"
1992,NA,"SLB"
1992,0.581,"ZAF"
1992,NA,"SSD"
1992,0.627,"ESP"
1992,0.608,"LKA"
1992,0.175,"SDN"
1992,NA,"SUR"
1992,0.725,"SWE"
1992,0.706,"CHE"
1992,0.419,"SYR"
1992,0.663,"TJK"
1992,0.28,"TZA"
1992,0.406,"THA"
1992,NA,"MKD"
1992,NA,"TLS"
1992,0.31,"TGO"
1992,0.668,"TON"
1992,0.577,"TTO"
1992,0.42,"TUN"
1992,0.41,"TUR"
1992,NA,"TKM"
1992,0.243,"UGA"
1992,0.654,"UKR"
1992,0.509,"ARE"
1992,0.707,"GBR"
1992,0.85,"USA"
1992,0.597,"URY"
1992,NA,"UZB"
1992,NA,"VUT"
1992,0.466,"VEN"
1992,0.374,"VNM"
1992,0.224,"YEM"
1992,0.396,"ZMB"
1992,0.437,"ZWE"
1993,0.156,"AFG"
1993,0.543,"ALB"
1993,0.414,"DZA"
1993,NA,"AND"
1993,NA,"AGO"
1993,NA,"ATG"
1993,0.636,"ARG"
1993,0.642,"ARM"
1993,0.875,"AUS"
1993,0.694,"AUT"
1993,NA,"AZE"
1993,NA,"BHS"
1993,0.599,"BHR"
1993,0.276,"BGD"
1993,0.646,"BRB"
1993,NA,"BLR"
1993,0.781,"BEL"
1993,0.6,"BLZ"
1993,0.222,"BEN"
1993,NA,"BTN"
1993,0.555,"BOL"
1993,NA,"BIH"
1993,0.493,"BWA"
1993,0.499,"BRA"
1993,0.613,"BRN"
1993,0.635,"BGR"
1993,NA,"BFA"
1993,0.181,"BDI"
1993,NA,"CPV"
1993,0.288,"KHM"
1993,0.344,"CMR"
1993,0.815,"CAN"
1993,0.196,"CAF"
1993,NA,"TCD"
1993,0.613,"CHL"
1993,0.427,"CHN"
1993,0.466,"COL"
1993,NA,"COM"
1993,0.458,"COG"
1993,0.273,"COD"
1993,0.534,"CRI"
1993,0.529,"HRV"
1993,0.633,"CUB"
1993,0.644,"CYP"
1993,0.626,"CZE"
1993,0.248,"CIV"
1993,0.723,"DNK"
1993,NA,"DJI"
1993,NA,"DMA"
1993,0.509,"DOM"
1993,0.557,"ECU"
1993,0.408,"EGY"
1993,0.408,"SLV"
1993,NA,"GNQ"
1993,NA,"ERI"
1993,0.678,"EST"
1993,0.412,"SWZ"
1993,NA,"ETH"
1993,0.658,"FJI"
1993,0.714,"FIN"
1993,0.683,"FRA"
1993,0.494,"GAB"
1993,0.199,"GMB"
1993,NA,"GEO"
1993,0.74,"DEU"
1993,0.391,"GHA"
1993,0.619,"GRC"
1993,NA,"GRD"
1993,0.3,"GTM"
1993,0.132,"GIN"
1993,NA,"GNB"
1993,0.523,"GUY"
1993,0.305,"HTI"
1993,0.367,"HND"
1993,0.655,"HKG"
1993,0.653,"HUN"
1993,0.721,"ISL"
1993,0.331,"IND"
1993,0.398,"IDN"
1993,0.449,"IRN"
1993,0.384,"IRQ"
1993,0.693,"IRL"
1993,0.75,"ISR"
1993,0.631,"ITA"
1993,0.524,"JAM"
1993,0.715,"JPN"
1993,0.588,"JOR"
1993,0.63,"KAZ"
1993,0.386,"KEN"
1993,NA,"KIR"
1993,0.707,"KOR"
1993,0.417,"KWT"
1993,0.609,"KGZ"
1993,0.304,"LAO"
1993,0.609,"LVA"
1993,NA,"LBN"
1993,0.413,"LSO"
1993,NA,"LBR"
1993,0.548,"LBY"
1993,NA,"LIE"
1993,0.647,"LTU"
1993,0.625,"LUX"
1993,NA,"MDG"
1993,0.28,"MWI"
1993,0.518,"MYS"
1993,NA,"MDV"
1993,0.098,"MLI"
1993,0.618,"MLT"
1993,NA,"MHL"
1993,0.212,"MRT"
1993,0.504,"MUS"
1993,0.491,"MEX"
1993,NA,"FSM"
1993,0.595,"MDA"
1993,0.474,"MNG"
1993,NA,"MNE"
1993,0.274,"MAR"
1993,0.139,"MOZ"
1993,0.291,"MMR"
1993,0.52,"NAM"
1993,0.293,"NPL"
1993,0.764,"NLD"
1993,0.829,"NZL"
1993,0.383,"NIC"
1993,0.09,"NER"
1993,NA,"NGA"
1993,0.808,"NOR"
1993,NA,"OMN"
1993,0.221,"PAK"
1993,NA,"PLW"
1993,NA,"PSE"
1993,0.562,"PAN"
1993,0.228,"PNG"
1993,0.463,"PRY"
1993,0.558,"PER"
1993,0.53,"PHL"
1993,0.698,"POL"
1993,0.606,"PRT"
1993,0.523,"QAT"
1993,0.597,"ROU"
1993,0.658,"RUS"
1993,0.23,"RWA"
1993,NA,"KNA"
1993,NA,"LCA"
1993,NA,"VCT"
1993,0.593,"WSM"
1993,0.347,"STP"
1993,0.508,"SAU"
1993,0.2,"SEN"
1993,0.633,"SRB"
1993,NA,"SYC"
1993,0.203,"SLE"
1993,0.535,"SGP"
1993,0.699,"SVK"
1993,0.708,"SVN"
1993,NA,"SLB"
1993,0.603,"ZAF"
1993,NA,"SSD"
1993,0.651,"ESP"
1993,0.606,"LKA"
1993,0.183,"SDN"
1993,NA,"SUR"
1993,0.779,"SWE"
1993,0.716,"CHE"
1993,0.419,"SYR"
1993,0.646,"TJK"
1993,0.284,"TZA"
1993,0.416,"THA"
1993,NA,"MKD"
1993,NA,"TLS"
1993,0.316,"TGO"
1993,0.673,"TON"
1993,0.582,"TTO"
1993,0.431,"TUN"
1993,0.416,"TUR"
1993,NA,"TKM"
1993,0.256,"UGA"
1993,0.655,"UKR"
1993,0.52,"ARE"
1993,0.736,"GBR"
1993,0.859,"USA"
1993,0.601,"URY"
1993,NA,"UZB"
1993,NA,"VUT"
1993,0.471,"VEN"
1993,0.387,"VNM"
1993,0.227,"YEM"
1993,0.411,"ZMB"
1993,0.443,"ZWE"
1994,0.168,"AFG"
1994,0.542,"ALB"
1994,0.424,"DZA"
1994,NA,"AND"
1994,NA,"AGO"
1994,NA,"ATG"
1994,0.639,"ARG"
1994,0.636,"ARM"
1994,0.875,"AUS"
1994,0.705,"AUT"
1994,NA,"AZE"
1994,NA,"BHS"
1994,0.609,"BHR"
1994,0.284,"BGD"
1994,0.653,"BRB"
1994,NA,"BLR"
1994,0.791,"BEL"
1994,0.609,"BLZ"
1994,0.228,"BEN"
1994,NA,"BTN"
1994,0.565,"BOL"
1994,NA,"BIH"
1994,0.499,"BWA"
1994,0.511,"BRA"
1994,0.62,"BRN"
1994,0.635,"BGR"
1994,NA,"BFA"
1994,0.181,"BDI"
1994,NA,"CPV"
1994,0.292,"KHM"
1994,0.344,"CMR"
1994,0.821,"CAN"
1994,0.202,"CAF"
1994,NA,"TCD"
1994,0.62,"CHL"
1994,0.432,"CHN"
1994,0.474,"COL"
1994,NA,"COM"
1994,0.459,"COG"
1994,0.277,"COD"
1994,0.542,"CRI"
1994,0.553,"HRV"
1994,0.619,"CUB"
1994,0.648,"CYP"
1994,0.642,"CZE"
1994,0.253,"CIV"
1994,0.739,"DNK"
1994,NA,"DJI"
1994,NA,"DMA"
1994,0.517,"DOM"
1994,0.561,"ECU"
1994,0.416,"EGY"
1994,0.42,"SLV"
1994,NA,"GNQ"
1994,NA,"ERI"
1994,0.69,"EST"
1994,0.41,"SWZ"
1994,NA,"ETH"
1994,0.67,"FJI"
1994,0.731,"FIN"
1994,0.715,"FRA"
1994,0.501,"GAB"
1994,0.205,"GMB"
1994,NA,"GEO"
1994,0.75,"DEU"
1994,0.397,"GHA"
1994,0.626,"GRC"
1994,NA,"GRD"
1994,0.304,"GTM"
1994,0.137,"GIN"
1994,NA,"GNB"
1994,0.528,"GUY"
1994,0.31,"HTI"
1994,0.374,"HND"
1994,0.66,"HKG"
1994,0.683,"HUN"
1994,0.731,"ISL"
1994,0.338,"IND"
1994,0.409,"IDN"
1994,0.466,"IRN"
1994,0.387,"IRQ"
1994,0.703,"IRL"
1994,0.757,"ISR"
1994,0.647,"ITA"
1994,0.529,"JAM"
1994,0.728,"JPN"
1994,0.613,"JOR"
1994,0.633,"KAZ"
1994,0.39,"KEN"
1994,NA,"KIR"
1994,0.723,"KOR"
1994,0.464,"KWT"
1994,0.6,"KGZ"
1994,0.315,"LAO"
1994,0.609,"LVA"
1994,NA,"LBN"
1994,0.424,"LSO"
1994,NA,"LBR"
1994,0.558,"LBY"
1994,NA,"LIE"
1994,0.65,"LTU"
1994,0.633,"LUX"
1994,NA,"MDG"
1994,0.29,"MWI"
1994,0.527,"MYS"
1994,NA,"MDV"
1994,0.106,"MLI"
1994,0.62,"MLT"
1994,NA,"MHL"
1994,0.234,"MRT"
1994,0.512,"MUS"
1994,0.5,"MEX"
1994,NA,"FSM"
1994,0.594,"MDA"
1994,0.473,"MNG"
1994,NA,"MNE"
1994,0.284,"MAR"
1994,0.147,"MOZ"
1994,0.296,"MMR"
1994,0.532,"NAM"
1994,0.295,"NPL"
1994,0.829,"NLD"
1994,0.846,"NZL"
1994,0.39,"NIC"
1994,0.093,"NER"
1994,NA,"NGA"
1994,0.839,"NOR"
1994,NA,"OMN"
1994,0.226,"PAK"
1994,NA,"PLW"
1994,NA,"PSE"
1994,0.565,"PAN"
1994,0.225,"PNG"
1994,0.471,"PRY"
1994,0.568,"PER"
1994,0.533,"PHL"
1994,0.71,"POL"
1994,0.621,"PRT"
1994,0.545,"QAT"
1994,0.598,"ROU"
1994,0.656,"RUS"
1994,0.235,"RWA"
1994,NA,"KNA"
1994,NA,"LCA"
1994,NA,"VCT"
1994,0.598,"WSM"
1994,0.355,"STP"
1994,0.515,"SAU"
1994,0.201,"SEN"
