"iso3c","year","meanwage.ILO"
"LUX",2013,4638.33
"LUX",2014,4784.3
"LUX",2015,4841.23
"LUX",2016,4875.93
"LVA",2010,1109.07
"LVA",2014,1414.77
"MAC",1990,543.06
"MAC",1991,581.78
"MAC",1992,669.26
"MAC",1993,750.47
"MAC",1994,797.22
"MAC",1995,815.02
"MAC",1996,813.89
"MAC",1997,855.1
"MAC",2009,1614.5
"MAC",2010,1671.24
"MAC",2011,1830.81
"MAC",2012,1937.23
"MAC",2013,2032.38
"MAC",2014,2109.92
"MAC",2015,2331.12
"MAC",2016,2305.88
"MDA",1993,208.63
"MDA",1994,123.52
"MDA",1995,151.85
"MDA",1996,141.7
"MDA",1997,152.42
"MDA",1998,163.73
"MDA",1999,146.15
"MDA",2000,154.1
"MDA",2001,192.42
"MDA",2002,236.09
"MDA",2003,278.34
"MDA",2004,314.52
"MDA",2005,347.22
"MDA",2006,409.01
"MDA",2007,455.53
"MDA",2008,513.79
"MDA",2009,556.41
"MDA",2010,569.07
"MDA",2011,558.03
"MDA",2012,622.84
"MDA",2013,638.32
"MDA",2014,687.07
"MDA",2015,696.01
"MDA",2016,729.73
"MDG",2012,203.37
"MDG",2015,245.6
"MDV",2016,902.12
"MEX",1991,454.89
"MEX",1993,434.35
"MEX",1995,387.44
"MEX",1996,342.1
"MEX",1997,358.85
"MEX",1998,372.36
"MEX",1999,383.13
"MEX",2000,435.35
"MEX",2001,479.79
"MEX",2002,503.23
"MEX",2003,526.89
"MEX",2004,540.22
"MEX",2005,555.92
"MEX",2006,585.71
"MEX",2007,595.69
"MEX",2008,596.16
"MEX",2009,578.47
"MEX",2010,565.14
"MEX",2011,560.33
"MEX",2012,559.85
"MEX",2013,584.95
"MEX",2014,572.54
"MEX",2015,587.91
"MEX",2016,599.19
"MKD",2001,421.49
"MKD",2002,461.6
"MKD",2003,478.1
"MKD",2004,503.23
"MKD",2005,517
"MKD",2006,548.75
"MKD",2007,585.06
"MKD",2008,647.98
"MKD",2009,1270.96
"MKD",2010,1285.04
"MKD",2014,1305.95
"MLI",2014,327
"MLI",2015,286.48
"MLI",2016,320.31
"MLT",2009,2237.64
"MLT",2010,2356.92
"MLT",2014,2703.42
"MMR",2015,388.72
"MNE",2007,1054.71
"MNE",2008,1241.48
"MNE",2009,1344.44
"MNE",2010,1561.67
"MNE",2011,1617.2
"MNE",2012,1596.09
"MNE",2014,1648.25
"MNE",2015,1658.37
"MNG",2000,210.4
"MNG",2001,213.04
"MNG",2002,234.52
"MNG",2003,260.78
"MNG",2004,282.58
"MNG",2005,281.76
"MNG",2006,349.21
"MNG",2007,443.84
"MNG",2008,570.81
"MUS",2001,535.55
"MUS",2002,538.48
"MUS",2003,569.52
"MUS",2004,589.62
"MUS",2005,668.24
"MUS",2006,638.86
"MUS",2007,638.46
"MUS",2008,689.18
"MUS",2009,763.02
"MUS",2010,802.46
"MUS",2011,807.92
"MUS",2012,839.05
"MUS",2013,882.07
"MUS",2014,981.82
"MUS",2015,1032.93
"MUS",2016,1039.08
"MWI",1990,66.92
"MWI",1991,38.83
"MWI",1992,38.66
"MWI",1993,35.87
"MWI",1994,31.6
"MWI",1995,19.85
"MYS",2011,1140.54
"MYS",2012,1206.5
"MYS",2014,1359.12
"MYS",2015,1405.01
"MYS",2016,1484.62
"NAM",2012,1048.42
"NAM",2013,1225.71
"NAM",2014,1146.85
"NAM",2016,1099.53
"NER",2009,124.33
"NER",2010,110.39
"NER",2011,245.63
"NGA",2011,8819.16
"NGA",2013,4625.73
"NIC",1999,467.07
"NIC",2000,510.77
"NIC",2001,555.33
"NIC",2002,588.44
"NIC",2003,617.62
"NIC",2004,636.06
"NIC",2005,694.45
"NIC",2006,758.44
"NIC",2009,434.61
"NIC",2010,438.23
"NIC",2012,463.15
"NIC",2013,734.72
"NIC",2014,1129.01
"NLD",2001,2782.1
"NLD",2002,2909.45
"NLD",2003,2906.98
"NLD",2004,3065.47
"NLD",2005,3136.64
"NOR",2009,3790.27
"NOR",2010,3901
"NOR",2011,4048.92
"NOR",2012,4183.72
"NOR",2013,4351.93
"NOR",2014,4446.32
"NOR",2015,4245.68
"NPL",1999,123.69
"NPL",2008,351.08
"NZL",2009,2391.19
"NZL",2010,2471.18
"NZL",2014,2761.07
"NZL",2015,2772.42
"NZL",2016,2862.65
"PAK",2002,263.51
"PAK",2004,298.08
"PAK",2006,330.17
"PAK",2007,364.49
"PAK",2008,360.69
"PAK",2009,378.93
"PAK",2010,381.62
"PAK",2011,397.14
"PAK",2013,433.62
"PAK",2014,448.14
"PAK",2015,496.93
"PAN",1998,526.88
"PAN",1999,550.56
"PAN",2009,1031.4
"PAN",2010,1082.27
"PAN",2011,1062.89
"PAN",2012,1125.51
"PAN",2013,1179.24
"PAN",2014,1186.51
"PAN",2015,1269.98
"PAN",2016,1360.28
"PER",2002,494.5
"PER",2003,498.18
"PER",2004,440.07
"PER",2005,443.24
"PER",2006,486.35
"PER",2007,524.39
"PER",2008,546.91
"PER",2009,579.98
"PER",2010,589.45
"PER",2011,619.28
"PER",2012,657.53
"PER",2013,695.28
"PER",2014,712.16
"PER",2015,725.82
"PER",2016,755.37
"PHL",1990,249.21
"PHL",1991,256.98
"PHL",1992,267.54
"PHL",1993,274.76
"PHL",1994,280.97
"PHL",1995,291.22
"PHL",1996,288.32
"PHL",1997,306.36
"PHL",1998,309.3
"PHL",1999,316.49
"PHL",2001,362.34
"PHL",2003,415.19
"PHL",2005,442.31
"PHL",2006,478.08
"PHL",2007,708.83
"PHL",2008,692.83
"PHL",2009,667.01
"PHL",2010,649.22
"PHL",2011,642.55
"PHL",2012,637.48
"PHL",2013,626.84
"PHL",2014,617.71
"PHL",2015,607.37
"PHL",2016,618.96
"POL",1993,510.59
"POL",1994,511.18
"POL",1995,536.85
"POL",1996,583.6
"POL",1997,633.36
"POL",1998,672.65
"POL",1999,887.6
"POL",2000,934.5
"POL",2001,998.97
"POL",2002,1034.67
"POL",2003,1083.7
"POL",2004,1111.55
"POL",2005,1114.81
"POL",2006,1184.27
"POL",2007,1319.81
"POL",2008,1466.78
"POL",2009,1532.91
"POL",2010,1653.12
"POL",2011,1772.47
"POL",2012,1850.4
"POL",2013,1954.15
"POL",2014,2009.82
"POL",2015,2082.79
"POL",2016,2164.76
"PRT",2008,1045.12
"PRT",2009,1085.34
"PRT",2010,1115.28
"PRT",2011,1168.72
"PRT",2012,1179.14
"PRT",2013,1215.38
"PRT",2015,1230.25
"PRT",2016,1252.36
"PRY",1990,497.69
"PRY",1991,577.82
"PRY",1992,564.43
"PRY",1993,618.93
"PRY",1994,697.64
"PRY",1995,726.66
"PRY",1996,755.85
"PRY",1997,826.76
"PRY",1998,855.65
"PRY",1999,746.17
"PRY",2000,597.59
"PRY",2001,535.57
"PRY",2002,498.93
"PRY",2003,498.78
"PRY",2004,474.04
"PRY",2005,524.13
"PRY",2006,562.6
"PRY",2007,545.11
"PRY",2008,585.78
"PRY",2009,590.9
"PRY",2010,636.44
"PRY",2011,707.98
"PRY",2012,717.12
"PRY",2013,801.89
"PRY",2014,833.12
"PRY",2015,828.6
"PRY",2016,810.24
"PSE",2015,873.38
"PSE",2016,920.01
"QAT",2001,1416.39
"QAT",2009,2777.66
"QAT",2011,2803.04
"QAT",2012,3269.72
"QAT",2013,3590.55
"QAT",2014,3828.48
"QAT",2015,3802.87
"QAT",2016,3823.02
"ROU",2005,589.46
"ROU",2006,675.48
"ROU",2007,784.3
"ROU",2009,983
"ROU",2010,1027.36
"ROU",2011,1071.72
"ROU",2012,1101.49
"ROU",2013,1148.1
"ROU",2014,1224.54
"ROU",2016,1517.74
"RUS",1997,289.91
"RUS",1999,230.4
"RUS",2000,294.43
"RUS",2001,365.21
"RUS",2002,439.24
"RUS",2004,554.65
"RUS",2005,638.87
"RUS",2006,782.08
"RUS",2007,947.5
"RUS",2008,1147.17
"RUS",2009,1169.03
"RUS",2010,1253.61
"RUS",2011,1393.57
"RUS",2012,1505.58
"RUS",2013,1385.39
"RUS",2014,1439.56
"RUS",2015,1345.12
"RUS",2016,1410.97
"RWA",2014,237.1
"SAU",2009,2661.98
"SAU",2011,2817.93
"SAU",2012,2937.27
"SAU",2013,3039.92
"SAU",2014,3302.42
"SAU",2015,3434.84
"SDN",2011,15467.35
"SGP",1990,886.14
"SGP",1991,975.5
"SGP",1992,1062.36
"SGP",1993,1136.7
"SGP",2007,2750.72
"SGP",2008,2823.61
"SGP",2009,2723.03
"SGP",2010,2842.55
"SGP",2011,2774.62
"SGP",2012,2900.66
"SGP",2013,3061.24
"SGP",2014,3133.36
"SGP",2015,3303.29
"SGP",2016,3453.99
"SLB",1990,240.57
"SLB",1991,264.07
"SLB",1993,272.97
"SLB",1994,270.07
"SLB",1995,269.18
"SLB",1996,355.5
"SLV",1998,4068.47
"SLV",1999,4138.76
"SLV",2000,4404.22
"SLV",2001,4438.17
"SLV",2002,511.69
"SLV",2003,487.82
"SLV",2004,483.69
"SLV",2005,503.59
"SLV",2006,501.08
"SLV",2010,523.69
"SLV",2011,516.02
"SLV",2012,536.2
"SLV",2013,579.94
"SLV",2014,579.27
"SLV",2015,591.89
"SLV",2016,576.51
"SMR",2003,2530.83
"SMR",2004,2557.24
"SMR",2005,2689.8
"SMR",2006,2767.58
"SRB",2004,338.5
"SRB",2005,377.6
"SRB",2006,438.62
"SRB",2008,586.04
