"year","iso3c","PrEdu","SecEdu","TerEdu"
2015,"IND",15.9,29.9,5.2
1980,"IRL",30.01,21.69,6.02
1985,"IRL",25.71,24.1,8.33
1990,"IRL",24.03,24.28,10.61
1995,"IRL",19.02,25.28,14.07
2000,"IRL",15.73,27.26,16.37
2005,"IRL",13.72,29.98,20.47
2010,"IRL",13.86,24.69,26.8
2015,"IRL",8,29.9,30.5
1980,"IRN",10.61,13.95,1.9
1985,"IRN",13.13,18.34,2.55
1990,"IRN",14.84,21.21,4.13
1995,"IRN",15.51,26.39,6.36
2000,"IRN",13.99,27.56,8
2005,"IRN",11.34,30.65,9.74
2010,"IRN",9.75,30.54,14.66
2015,"IRN",9.3,31.1,16.8
1980,"IRQ",7.29,6.05,2.15
1985,"IRQ",9.83,8.83,2.98
1990,"IRQ",13.6,10.79,3.8
1995,"IRQ",17.6,11.72,4.16
2000,"IRQ",18.68,14.15,5.34
2005,"IRQ",18.78,14.76,6.75
2010,"IRQ",17.58,17.4,8.77
2015,"IRQ",24.2,17.3,9.8
1980,"ISL",43.73,16.06,4.62
1985,"ISL",40.47,18.52,5.7
1990,"ISL",37.55,21.63,6.94
1995,"ISL",35.24,23.23,8.54
2000,"ISL",32.73,24.23,10.71
2005,"ISL",27.06,26.48,14.08
2010,"ISL",24.05,25.21,17.89
2015,"ISL",16.2,20.6,22.6
1980,"ISR",22.62,32.14,10.95
1985,"ISR",23.33,30.25,12.77
1990,"ISR",23.94,30.32,14.2
1995,"ISR",23.74,28.81,16.27
2000,"ISR",22.55,28.36,18.34
2005,"ISR",22.31,29.59,18.8
2010,"ISR",8.56,39.07,20.26
2015,"ISR",6.9,45.3,20.3
1980,"ITA",41.57,13.85,1.92
1985,"ITA",36.5,17.34,2.59
1990,"ITA",32.41,20.15,3.53
1995,"ITA",27.2,23.63,4.5
2000,"ITA",22.89,28.5,4.99
2005,"ITA",19.7,31.9,5.6
2010,"ITA",16.38,34.54,6.84
2015,"ITA",5.9,44.5,7.7
1980,"JAM",32.54,11.6,0.75
1985,"JAM",29.6,15.67,1.2
1990,"JAM",27.73,19.25,1.73
1995,"JAM",21.24,24.07,4.4
2000,"JAM",14.83,28.32,7.09
2005,"JAM",12.24,31.7,7.7
2010,"JAM",10.27,34.23,8.37
2015,"JAM",5.3,39.4,9.4
1980,"JOR",14.76,8.9,2.91
1985,"JOR",13.74,15.22,3.81
1990,"JOR",12.48,21.95,3.48
1995,"JOR",12.98,28.46,3.62
2000,"JOR",11.61,31.95,3.74
2005,"JOR",10.43,31.15,3.98
2010,"JOR",9.6,27.09,3.8
2015,"JOR",9,29.7,4.3
1980,"JPN",28.22,31,5.04
1985,"JPN",24.77,32.92,10.76
1990,"JPN",24.13,29.73,12.48
1995,"JPN",17.84,34.57,14.28
2000,"JPN",14.7,37.41,16.15
2005,"JPN",12.33,39.62,17.88
2010,"JPN",9.13,40.98,18.91
2015,"JPN",5.1,44.3,22.4
1980,"KAZ",17.4,32.11,4.99
1985,"KAZ",16.45,38.64,5.92
1990,"KAZ",15.78,45.33,5.84
1995,"KAZ",10.44,55.8,7.3
2000,"KAZ",4.24,67.46,8.42
2005,"KAZ",0.4,71.8,13.48
2010,"KAZ",2.09,66.25,14.03
2015,"KAZ",1.8,61.9,17.3
1980,"KEN",14.52,0.96,0.65
1985,"KEN",18.33,1.15,0.95
1990,"KEN",20.7,1.98,1.29
1995,"KEN",22.34,3.23,1.74
