"iso3c","year","corr","burreau","demAcc","lawOrder"
"BHR",1993,"4","3","2","5.75"
"BHR",1994,"4","3","2","6"
"BHR",1995,"4","2.91666666666667","2","5"
"BHR",1996,"3.33333333333333","2","2","5"
"BHR",1997,"3","2","1.16666666666667","5"
"BHR",1998,"3","2","0","5"
"BHR",1999,"3","2","0","5"
"BHR",2000,"3","2","0","5"
"BHR",2001,"2.625","2","1.83333333333333","5"
"BHR",2002,"2","2","2.95833333333333","5"
"BHR",2003,"2","2","4.5","5"
"BHR",2004,"2","2","4.25","5"
"BHR",2005,"2","2","2.66666666666667","5"
"BHR",2006,"2","2","2.625","5"
"BHR",2007,"2.00","2.00","4.50","5.00"
"BHR",2008,"2","2","4.5","5"
"BHR",2009,"2","2","4.5","5"
"BHR",2010,"2.41666666666667","2","4.5","5"
"BHR",2011,"2.5","2","4.5","5"
"BHR",2012,"2.83333333333333","2","4.16666666666667","4.70833333333333"
"BHR",2013,"3","2","3.5","4.5"
"BHR",2014,"3","2","3.5","4.5"
"BHR",2015,"2.58333333333333","2","3.5","4.5"
"BHR",2016,"2.5","2","3.5","4.5"
"BHR",2017,"2.5","2","3.5","4.5"
"BHS",1984,NA,NA,NA,NA
"BHS",1985,"0","3","4","4"
"BHS",1986,"0","3","4","4"
"BHS",1987,"0","3","4","4"
"BHS",1988,"0","3","4","4"
"BHS",1989,"0","3","4","4"
"BHS",1990,"0","3","4","4"
"BHS",1991,"0","3","4","4"
"BHS",1992,"0.0833333333333333","3","4","4"
"BHS",1993,"3.25","3","4","4"
"BHS",1994,"4","3","4","4"
"BHS",1995,"4","3","4","4"
"BHS",1996,"4","3","4","4"
"BHS",1997,"4","3","4","4"
"BHS",1998,"4","3","4","4"
"BHS",1999,"4","3","4","4"
"BHS",2000,"4","3","4","4"
"BHS",2001,"4","3","4","4"
"BHS",2002,"4","3","4","4"
"BHS",2003,"4","3","4","4"
"BHS",2004,"4","3","4.58333333333333","4.29166666666667"
"BHS",2005,"4","3","5","4.5"
