"iso3c","year","globFin","globRestrict","globSoc","globPol"
"ASM",2000,NA,NA,NA,NA
"ASM",2001,NA,NA,NA,NA
"ASM",2002,NA,NA,NA,NA
"ASM",2003,NA,NA,NA,NA
"ASM",2004,NA,NA,NA,NA
"ASM",2005,NA,NA,NA,NA
"ASM",2006,NA,NA,NA,NA
"ASM",2007,NA,NA,NA,NA
"ASM",2008,NA,NA,NA,NA
"ASM",2009,NA,NA,NA,NA
"ASM",2010,NA,NA,NA,NA
"ASM",2011,NA,NA,NA,NA
"ASM",2012,NA,NA,NA,NA
"ASM",2013,NA,NA,NA,NA
"ASM",2014,NA,NA,NA,NA
"ASM",2015,NA,NA,NA,NA
"ATG",1980,NA,NA,NA,NA
"ATG",1981,49.2611618,58.30448914,61.68783188,15.71890259
"ATG",1982,60.43309021,58.32510757,59.94059753,16.12130737
"ATG",1983,51.29747772,58.36930847,59.97352219,17.51098061
"ATG",1984,48.87713242,58.43650055,60.3406105,17.53587723
"ATG",1985,42.30332565,58.47668076,60.53984833,13.74474335
"ATG",1986,69.21933746,58.50935745,60.38840485,16.04867363
"ATG",1987,69.29415131,58.52008057,60.94214249,20.33215904
"ATG",1988,63.92652893,58.53350449,61.29438019,20.73078918
"ATG",1989,65.61008453,58.53855133,61.92464066,21.72476387
"ATG",1990,66.56560516,58.53532791,63.41181183,20.33675766
"ATG",1991,65.32749939,58.52486038,62.06531906,23.06877518
"ATG",1992,67.95246887,58.51146317,62.54062653,23.00351715
"ATG",1993,60.0461731,58.44551086,62.89648056,23.13565254
"ATG",1994,62.98207855,58.36262131,62.91719437,23.50006104
"ATG",1995,67.81005096,58.22875214,63.84337616,34.88814545
"ATG",1996,65.27906799,55.96658707,62.9418869,25.18224144
"ATG",1997,61.53280258,55.83291245,63.04423523,25.34483147
"ATG",1998,64.82056427,50.77444458,62.93499374,25.32652473
"ATG",1999,67.1618042,52.90576935,65.61155701,25.31467819
"ATG",2000,72.03561401,52.96458054,66.64523315,25.26490402
"ATG",2001,71.8489151,51.68931198,65.10729218,27.0289669
"ATG",2002,72.02915955,52.15023422,65.96623993,27.25514603
"ATG",2003,73.31468964,52.17756653,67.51460266,29.23865318
"ATG",2004,76.29680634,52.571064,68.16432953,29.74831581
"ATG",2005,78.39587402,52.99634933,72.20602417,30.0917778
"ATG",2006,81.1984787,54.28602982,72.57696533,31.21888351
"ATG",2007,81.27372742,55.47444153,72.31794739,31.5818615
"ATG",2008,79.04281616,57.24606323,68.23342896,29.37298584
"ATG",2009,78.48303986,56.6785202,70.82010651,31.80207253
"ATG",2010,75.01583862,56.71213531,70.13891602,33.4200058
"ATG",2011,77.61647797,56.24993134,70.06188965,34.35409927
"ATG",2012,79.37441254,56.88053131,70.21282959,34.37995148
"ATG",2013,79.58388519,56.88162994,69.87398529,35.07521439
"ATG",2014,79.84225464,57.70647049,70.48766327,31.41091537
"ATG",2015,80.01667786,57.71890259,70.61351776,35.6739769
"AUS",1980,37.27922058,56.6196785,69.06183624,77.09500885
"AUS",1981,36.63059616,56.6204071,69.02587891,76.87000275
