"iso3c","year","CLandPR"
"BRA","2012",2
"BRA","2013",2
"BRA","2014",2
"BRA","2015",2
"BRA","2016",2
"BRA","2017",2
"BRN","1984",6
"BRN","1985",5.5
"BRN","1986",5.5
"BRN","1987",5.5
"BRN","1988",6
"BRN","1989",6
"BRN","1990",5.5
"BRN","1991",5.5
"BRN","1992",6.5
"BRN","1993",6.5
"BRN","1994",6.5
"BRN","1995",6
"BRN","1996",6
"BRN","1997",6
"BRN","1998",6
"BRN","1999",6
"BRN","2000",6
"BRN","2001",6
"BRN","2002",5.5
"BRN","2003",5.5
"BRN","2004",5.5
"BRN","2005",5.5
"BRN","2006",5.5
"BRN","2007",5.5
"BRN","2008",5.5
"BRN","2009",5.5
"BRN","2010",5.5
"BRN","2011",5.5
"BRN","2012",5.5
"BRN","2013",5.5
"BRN","2014",5.5
"BRN","2015",5.5
"BRN","2016",5.5
"BRN","2017",5.5
"BGR","1980",7
"BGR","1981",7
"BGR","1982",7
"BGR","1983",7
"BGR","1984",7
"BGR","1985",7
"BGR","1986",7
"BGR","1987",7
"BGR","1988",7
"BGR","1989",7
"BGR","1990",3.5
"BGR","1991",2.5
"BGR","1992",2.5
"BGR","1993",2
"BGR","1994",2
"BGR","1995",2
"BGR","1996",2.5
"BGR","1997",2.5
"BGR","1998",2.5
"BGR","1999",2.5
"BGR","2000",2.5
"BGR","2001",2
"BGR","2002",1.5
"BGR","2003",1.5
"BGR","2004",1.5
"BGR","2005",1.5
"BGR","2006",1.5
"BGR","2007",1.5
"BGR","2008",2
"BGR","2009",2
"BGR","2010",2
"BGR","2011",2
"BGR","2012",2
"BGR","2013",2
"BGR","2014",2
"BGR","2015",2
"BGR","2016",2
"BGR","2017",2
"BFA","1980",5.5
"BFA","1981",5.5
"BFA","1982",5.5
"BFA","1983",5.5
"BFA","1984",6
"BFA","1985",6.5
"BFA","1986",6.5
"BFA","1987",6.5
"BFA","1988",6.5
"BFA","1989",5.5
"BFA","1990",5.5
"BFA","1991",5.5
"BFA","1992",5
"BFA","1993",4.5
"BFA","1994",4.5
"BFA","1995",4.5
"BFA","1996",4.5
"BFA","1997",4.5
"BFA","1998",4.5
"BFA","1999",4
"BFA","2000",4
"BFA","2001",4
"BFA","2002",4
"BFA","2003",4
"BFA","2004",4.5
"BFA","2005",4
"BFA","2006",4
"BFA","2007",4
"BFA","2008",4
"BFA","2009",4
"BFA","2010",4
"BFA","2011",4
"BFA","2012",4
"BFA","2013",4
"BFA","2014",4.5
"BFA","2015",3.5
"BFA","2016",3.5
"BFA","2017",3.5
"BDI","1980",6.5
"BDI","1981",6.5
"BDI","1982",6.5
"BDI","1983",6
"BDI","1984",6.5
"BDI","1985",6.5
"BDI","1986",6.5
"BDI","1987",6.5
"BDI","1988",6.5
"BDI","1989",6.5
"BDI","1990",6.5
"BDI","1991",6.5
"BDI","1992",5.5
"BDI","1993",7
"BDI","1994",6.5
"BDI","1995",6.5
"BDI","1996",7
"BDI","1997",7
"BDI","1998",6.5
"BDI","1999",6
"BDI","2000",6
"BDI","2001",6
"BDI","2002",5.5
"BDI","2003",5
"BDI","2004",5
"BDI","2005",4
"BDI","2006",4.5
"BDI","2007",4.5
"BDI","2008",4.5
"BDI","2009",4.5
"BDI","2010",5
"BDI","2011",5
"BDI","2012",5
"BDI","2013",5
"BDI","2014",5.5
"BDI","2015",6.5
"BDI","2016",6.5
"BDI","2017",6.5
"KHM","1980",7
"KHM","1981",7
"KHM","1982",7
"KHM","1983",7
"KHM","1984",7
"KHM","1985",7
"KHM","1986",7
"KHM","1987",7
"KHM","1988",7
"KHM","1989",7
"KHM","1990",7
"KHM","1991",6
"KHM","1992",6
"KHM","1993",4.5
"KHM","1994",4.5
"KHM","1995",6
"KHM","1996",6
"KHM","1997",6.5
"KHM","1998",6
"KHM","1999",6
"KHM","2000",6
"KHM","2001",5.5
"KHM","2002",5.5
"KHM","2003",5.5
"KHM","2004",5.5
"KHM","2005",5.5
"KHM","2006",5.5
"KHM","2007",5.5
"KHM","2008",5.5
"KHM","2009",5.5
"KHM","2010",5.5
"KHM","2011",5.5
"KHM","2012",5.5
"KHM","2013",5.5
"KHM","2014",5.5
"KHM","2015",5.5
"KHM","2016",5.5
"KHM","2017",5.5
"CMR","1980",6
"CMR","1981",6
"CMR","1982",6
"CMR","1983",6
"CMR","1984",6.5
"CMR","1985",6.5
"CMR","1986",6
"CMR","1987",6
"CMR","1988",6
"CMR","1989",6
"CMR","1990",6
"CMR","1991",6
"CMR","1992",5.5
"CMR","1993",5.5
"CMR","1994",5.5
"CMR","1995",6
"CMR","1996",6
"CMR","1997",6
"CMR","1998",6
"CMR","1999",6.5
"CMR","2000",6.5
"CMR","2001",6
"CMR","2002",6
"CMR","2003",6
"CMR","2004",6
"CMR","2005",6
"CMR","2006",6
"CMR","2007",6
"CMR","2008",6
"CMR","2009",6
"CMR","2010",6
"CMR","2011",6
"CMR","2012",6
