"iso3c","country","period","Top10share","Top1share","NatRes","GovExp","GDSavings","PopGrowth","PopTot","Infl","EducExp","VAI","VAA","NetFDIin","RuleofLaw","GDPpc","GDPgrowth","TradeOpen","LifeExp","Unemployment","WarYears","RevCoups","EquipI","NonequipI","kaopen","FID","FIA","FIE","FMD","EFW","EducIndex","CLandPR","LeftWing","GiniNet","RedistAbs","globFin","globRestrict","globSoc","globPol","Age","GDPpc#GDPpc","Infl#Infl","EducIndex#EducIndex"
"GHA","Ghana",3,0.48166655348,0.14512389346,15.4422222275718,10.7964773944086,8.17635044568075,2.37930379089988,17.0730228366967,10.7433126707121,6.49759959614541,27.6934359068297,22.857158671811,7.05860632354003,0.03578672,8.16003546632388,8.28991775370314,76.3398142458298,61.7222,6.0282000541687,0,0,0.10468592846685,0.14834215433315,-1.63393850326538,0.07672564,0.09168908,0.45519038,0.076217,6.6319329846,0.5378,1.5,1,41.4722491148973,5.03995241059444,48.725270082,36.106878664,49.634593964,79.641007994,20,66.5932264302989,123.524561829688,0.2892862
"GIN","Guinea",3,0.42532115618,0.1243036606,18.8026101402787,15.738367882197,2.36335152213793,2.25002903287185,16.1816651680337,14.7278843674828,2.95096611830049,31.1679754641709,17.0910920108055,4.53191409042667,-1.4135564,7.47484078332649,4.79659698054325,80.6747943763128,57.9232,4.20959997177124,0,0,0.0570064061081163,0.0675262844918837,-1.91655135154724,0.01993704,0.02293746,0.4490851,0.00444506,5.4211753255,0.3182,5,0,36.5569772772912,4.84831167646525,33.64979477,20.406321716,32.219303512,65.43549042,16.7,55.874510145695,232.480481082504,0.1015838
"GRC","Greece",1,0.328519998,0.089399998,0.095074106259865,18.8632336535917,15.5402159063704,0.356309896498286,16.2034021995931,3.31680148194328,2.73966887036038,19.6761267973469,4.98005092834027,0.321551142373174,0.84070855,10.2002467149848,4.56595570015742,52.5986276757961,78.5595121951219,10.2804000854492,0,0,0.0457631229191846,0.224983620880816,1.91916069984436,0.32850156,0.64275092,0.67431786,0.39334424,7.2032303192,0.7084,1.7,1,33.2864755027938,14.6880811344588,55.329842376,86.219673156,72.96331787,89.173332214,38,104.048774409508,11.0709333979219,0.502444
"GRC","Greece",2,0.295620002,0.0763999998,0.266925801930078,20.9452287889468,12.9165915626829,0.275364539005691,16.2177709765536,2.99978018211955,3.1,17.3526680182776,3.22700268763533,1.06560434483187,0.81112964,10.3418146099261,0.977883283066819,53.6698078493268,79.6487804878049,8.9548002243042,0,0,0.0527785131037976,0.234502651496202,2.34670782089233,0.32512402,0.79563376,0.71614576,0.56380546,7.1881790938,0.7772,1.5,0,33.1035772651184,15.9913156186581,70.598802184,79.865887452,75.67120514,91.269087218,39.4,106.954044296798,9.97453374598094,0.6041612
"GRC","Greece",3,0.302660006,0.0906999998,0.282858141651262,21.289298403273,8.68084084518859,-0.390211578393561,16.2157155953119,1.46219711520043,3.1,14.1295544624484,3.13551567181078,0.719990259856338,0.49150346,10.140416728511,-4.88273462202509,60.6320161518586,80.8848780487805,21.7947996139527,0,0,0.036749167951142,0.134896235048858,2.34670782089233,0.35952046,0.73382104,0.69557936,0.49207112,6.8859928804,0.8072,1.9,0.4,33.5788192593067,17.7101258315177,72.97108612,77.055516054,76.252023314,91.82590332,41.1,102.833062673384,7.62487247433938,0.6517608
"HRV","Croatia",1,0.287379996,0.0652599992,0.924428294122508,19.394869314314,16.7588023925899,-0.94377201849801,15.2822605788339,2.77650739721606,3.574,24.1230433068822,4.66108046283326,4.21062188165873,-0.0132946,9.77008491135724,4.3084118232114,80.2577154657213,74.4344390243902,14.9053997039795,0,0,0.0528030382545538,0.182249177945446,0.341384986042975,0.20160296,0.51332836,0.59425092,0.1495921,6.3041535324,0.6826,2.1,0.6,25.7943272284244,16.8751708931806,57.901221466,51.53714447,74.313504028,73.786059572,38.9,95.4603460740262,9.13414289693853,0.4661886
"HRV","Croatia",2,0.292600002,0.0711800008,0.988882258920764,19.0354781390682,20.0269113987362,0.00269925565299022,15.2762816003691,3.57235675241482,3.94,23.8669334961991,3.93468556546281,6.11328236732309,0.0941562,9.97189476796074,1.79629595860631,80.9322187832075,75.773512195122,10.2737998962402,0,0,0.0760823565501792,0.240834132849821,1.06518971920013,0.31265004,0.757042,0.63552668,0.26212172,6.7182586458,0.7308,1.9,0,26.2345920926687,17.3904386108826,71.175167086,66.033415222,77.69177246,83.05098114,40.5,99.4404781335569,14.4342887578512,0.5342184
"HRV","Croatia",3,0.28456,0.0682199986,1.16599700405185,20.5685139823845,18.1863766106816,-0.312718738345583,15.2665367542691,1.74334834431965,4.32599508317203,21.8933576861737,3.441864693723,3.14641106910853,0.25535636,9.9276946269657,-0.939239837485163,80.9370402016729,76.9560975609756,15.1548002243042,0,0,0.0569862380552105,0.167104102744789,1.06518971920013,0.3692325,0.88109442,0.63655304,0.24742262,6.9619601492,0.778,1.5,0,28.3801430823634,16.5881046799867,72.91290283,66.30982971,76.772447204,85.286624146,41.7,98.5592196475903,4.5658247831461,0.6054172
"HUN","Hungary",1,0.247360004,0.07306,0.53169980614126,21.8420599546926,23.2937457471647,-0.256353623115511,16.1338411348997,7.11824624931549,5.03029255664321,26.7560972794409,4.47397678765033,5.59970655183902,0.9317527,9.88252301160274,4.44038841976698,125.329131192411,72.1585365853659,5.892799949646,0,0,0.0509119635560182,0.170549237243982,1.33652873933315,0.25638744,0.33018884,0.63181498,0.20143788,7.238386682,0.7572,1.4,1,28.2563886922343,22.9543526089776,73.116532898,79.248492432,74.152879336,89.826008608,38.5,97.6684828313207,54.8326436868446,0.573538
"HUN","Hungary",2,0.28036,0.0837400006,0.517937363543358,21.6934219804862,24.3521333628772,-0.167903333475026,16.1235790380306,5.14096251363299,5.13,26.3376360207138,3.45632730507182,23.8638125465669,0.90986264,10.0459709059208,0.575110761633156,146.954161217598,73.3009756097561,7.98699998855591,0,0,0.0623380719356115,0.176434365064389,2.34670782089233,0.3956296,0.42869946,0.5845449,0.3330296,7.3510556634,0.8006,1,1,26.852372508157,23.9527663584468,88.331126406,83.917546084,77.053173826,91.366030882,39.1,100.922246569185,29.1447929705578,0.6410406
