"iso3c","country","period","Top10share","Top1share","NatRes","GovExp","GDSavings","PopGrowth","PopTot","Infl","EducExp","VAI","VAA","NetFDIin","RuleofLaw","GDPpc","GDPgrowth","TradeOpen","LifeExp","Unemployment","WarYears","RevCoups","EquipI","NonequipI","kaopen","FID","FIA","FIE","FMD","EFW","EducIndex","CLandPR","LeftWing","GiniNet","RedistAbs","globFin","globRestrict","globSoc","globPol","GDPpc#GDPpc","Infl#Infl","EducIndex#EducIndex"
"MDG","Madagascar",2,0.507880826266667,0.176816971433333,6.50599880134782,8.4554038445338,7.43032612032021,2.98684887332772,16.6947681214051,10.2052072180171,2.49,16.6337526692363,26.2107212860332,0.81652966324272,-0.277754966666667,7.37307078943224,6.54826523356442,69.6815815444606,60.74,3.3439998626709,0,0,0.0624588513662257,0.0639682699671077,-0.141151502728462,0.0456296666666667,0.0133010333333333,0.589277933333333,0.0346167666666667,5.76642722433333,0.428666666666667,3,0,42.0436973429765,5.08200613018998,37.84585953,34.70983569,26.2132790866667,53.3121020033333,54.3624008803671,178.299363993591,0.183809333333333
"MDG","Madagascar",3,0.507117380033333,0.184051457166667,6.87165742327984,14.0196038733329,14.8206460318645,2.88833610279656,16.7824016383661,10.1167039560214,2.69666666666667,19.180155634755,26.7485844929413,8.3934900841356,-0.426362933333333,7.44353546940551,5.99193933197152,72.1857295734558,62.0793333333333,2.58300002415975,0,0,0.0668231006105274,0.128296618056139,-0.141151502728462,0.0472716666666667,0.0185822,0.549227066666667,0.038998,6.01373554166667,0.453666666666667,3.5,0,41.9583541678451,5.07019656250162,35.2592798866667,30.6562067666667,29.8329652133333,62.0146967566667,55.4069937246456,102.722087551957,0.205894333333333
"MDG","Madagascar",4,0.514767698133333,0.179166938933333,7.32808719030187,13.2472740760179,13.5901508235219,2.79268105816969,16.8671254112163,9.22802674873352,2.605,18.2313343332028,29.5311500805422,9.88233534988332,-0.832163333333333,7.39103888353438,-0.593680605243092,58.9232282344821,63.3893333333333,3.28533339500427,0,0,0.0698940307825346,0.146157056217465,-0.612172866861025,0.0485070333333333,0.0232033,0.434849233333333,0.0289954666666667,6.30655581733333,0.483,5,0,41.7649973370055,5.23582321296164,43.6043599466667,29.4331302633333,31.7746384966667,62.2998822533333,54.6276505167739,85.2031845942414,0.233291
"MDG","Madagascar",5,0.502580733,0.1502240607,9.54406192604248,15.4847883749075,9.61775664786586,2.71605878317314,16.9492779797352,5.87356063243778,2.28333333333333,18.1451603389377,26.7796764222058,5.34177474235839,-0.853026433333333,7.37716276124293,2.8835758200856,56.9962426946228,64.7086666666667,0.955999990304311,0,0,0.0467866918325057,0.117156499834161,-0.376662184794744,0.0500986333333333,0.0281718333333333,0.444456766666667,0.0251800666666667,6.543506987,0.491666666666667,4.5,0,41.6101380892857,5.39546448373398,45.05049769,29.7297623933333,35.5759512566667,63.13175074,54.4225365642562,34.5222200101474,0.241740333333333
"MEX","Mexico",1,0.406366656666667,0.133133330333333,2.93474510836988,9.92468727446816,21.2419108156577,1.40602076595385,18.4235546816576,6.96334229607245,4.34333333333333,33.3791348976435,3.33487783823222,3.22823711871136,-0.34619035,9.67166301834366,1.49940636883761,48.7655564915712,74.64,2.70133336385091,0,0,0.0288723043113564,0.156345230021977,0.708900470519436,0.1467038,0.232025433333333,0.530960466666667,0.144207133333333,6.552514185,0.556,2.33333333333333,0,47.1361295424407,1.43352753577856,39.6969070433333,60.58039856,57.30355072,73.94777425,93.5412394383366,51.9820150386137,0.309192
"MEX","Mexico",2,0.42023334,0.141000003333333,4.66829989889132,10.6809289452472,20.2599316920692,1.3870252721201,18.4649550279391,4.40778870519766,4.89666666666667,32.2751811264871,3.26662703892267,2.88299080367452,-0.351084966666667,9.6762496936565,2.5582601866363,56.9963782578131,75.2203333333333,3.65000001589457,0,0,0.0406879158299976,0.152777997503336,0.708900470519436,0.151757933333333,0.267331366666667,0.625557733333333,0.1818345,6.74119528933333,0.587333333333333,2,0,46.3141986922974,1.62790576144611,42.6926854466667,59.5595258066667,61.0127868666667,75.1645202633333,93.6300071413898,19.5200260138865,0.345003333333333
"MEX","Mexico",3,0.449366666666667,0.169399993333333,6.34530405397325,10.493107840654,22.3863291315708,1.47921373042825,18.5084524720316,4.24043314157753,4.72,34.2622027654851,3.13930642658007,2.721758872513,-0.5311361,9.72364574875717,2.64336939856869,56.8883449743106,75.2483333333333,3.68933335940043,0,0,0.0468183534208332,0.155539241579167,1.06518971920013,0.182862266666667,0.3182844,0.514806133333333,0.2314986,6.75209111366667,0.614333333333333,2.5,0,46.2051459090629,2.16338041324652,46.4223569233333,59.3404897066667,61.9670906033333,76.5241750066667,94.5492967969287,18.3914582675575,0.377417
"MEX","Mexico",4,0.43803333,0.142766666666667,5.5454776867856,11.8218034199353,22.8499904946654,1.43656388851584,18.5523796423124,4.2871537717159,5.04666666666667,32.6042684663427,3.18303672359426,2.07490946503058,-0.553302566666667,9.68581353259133,1.16512731196503,60.065922049963,75.068,5.27633333206177,0,0,0.0491291256397705,0.161720114693563,1.06518971920013,0.226016566666667,0.3692478,0.569602533333333,0.275123233333333,6.613667458,0.629333333333333,2.83333333333333,0,46.3084632957524,2.91341751184233,51.30149587,61.8811709066667,62.5918210333333,77.7687581366667,93.8155461193183,18.9835288898563,0.396100666666667
"MEX","Mexico",5,0.448499996666667,0.14816666,5.96421915686642,12.1134620378715,22.1995295458356,1.31617553322776,18.5930542846387,3.97883886298724,4.91810228284584,32.3760037767672,3.14918088433117,2.53447990622965,-0.500467266666667,9.73972189089544,2.60025158977041,64.8319005425042,74.9346666666667,4.8700000445048,0,0,0.0552536756792472,0.152617806320753,1.06518971920013,0.258893966666667,0.403648433333333,0.612566066666667,0.3036856,6.739723426,0.651,3,0,45.6056241041803,2.30732084378867,57.6086934433333,63.24627431,64.8481063833333,78.4369252533333,94.8622327122573,15.847466090022,0.423809666666667
"MKD","North Macedonia",2,0.266733336666667,0.0585333333333333,1.59758831829362,17.2231081723983,2.45874896476937,0.184058958187956,14.536717245089,0.310809288962174,3.26865220429847,21.2964094106344,10.9428645625214,3.38957474996502,-0.3466263,9.10260586505281,3.87359323680103,79.2601509407544,73.8863333333333,37.0336659749349,0,0,0.0384904975446563,0.138003688455344,-0.0036780268419534,0.115586466666667,0.223816833333333,0.544275533333333,0.0476999,6.405965025,0.594,3,1,33.4193354497574,22.2618342654227,52.6323432933333,49.0599123633333,64.0529937733333,53.0609792066667,82.8587392742187,0.403146856044937,0.352958
