code,country,year,KOFGI,KOFGIdf,KOFGIdj,KOFEcGI,KOFEcGIdf,KOFTrGIdf,KOFFiGIdf,KOFEcGIdj,KOFTrGIdj,KOFFiGIdj,KOFSoGI,KOFSoGIdf,KOFIpGIdf,KOFInGIdf,KOFCuGIdf,KOFSoGIdj,KOFIpGIdj,KOFInGIdj,KOFCuGIdj,KOFPoGI,KOFPoGIdf,KOFPoGIdj
HTI,Haiti,1985,30.65211105,23.95747375,37.54426956,27.20316887,8.350530624,4.028780937,12.67228127,50.12537384,41.14468384,55.9172287,24.73259354,31.34693146,33.78779221,33.97461319,26.96863174,18.741745,14.91549492,23.97530746,17.33443451,39.43541718,32.87150955,45.99932098
HTI,Haiti,1986,31.82782364,24.23087883,39.64803314,27.44845009,8.644499779,4.703943729,12.58505726,50.29987335,41.71377945,55.84440613,27.36958313,31.80347061,34.4234314,35.20331955,26.52373886,23.35318565,15.30181694,24.2121563,30.54558182,40.06770706,32.95769119,47.17771912
HTI,Haiti,1987,31.45550346,24.26097679,38.86061096,27.6161747,8.986898422,5.444418907,12.52937603,50.24565887,41.71459198,55.76065063,26.5012455,30.59143257,34.47842026,31.6859951,26.70758247,22.79608727,15.29850006,24.20549965,28.88425636,39.67657471,33.80052948,45.55261612
HTI,Haiti,1988,31.12362862,23.89522171,38.56271362,27.41012955,8.644844055,4.774563789,12.51512527,50.19598007,41.72269058,55.67904663,26.30088425,29.72683907,34.52990723,29.68054581,26.32673073,23.19749451,15.68772221,24.45198441,29.45277405,39.10520554,33.86305237,44.3473587
HTI,Haiti,1989,30.39919472,22.61328316,38.41074371,27.49588585,8.652039528,4.804042339,12.50003815,50.36719894,42.28281021,55.60438919,24.49448586,25.72848129,34.59646606,26.64632797,18.45011902,23.37678909,15.681036,24.44875717,30.0005703,38.67331696,33.75294113,43.59368515
HTI,Haiti,1990,30.95284271,23.11090279,39.02180862,27.15753555,8.463008881,4.347651005,12.57836533,49.84732819,42.28894424,54.74391556,27.72855949,30.33297157,34.66846848,31.29546547,26.26185799,25.36981773,15.66923046,24.46191978,35.97830582,37.48622513,31.21797562,43.75447464
HTI,Haiti,1991,31.2217083,23.84013557,38.81665039,27.43081665,8.363769531,4.02579546,12.70174217,50.57743073,42.85365295,55.57859039,24.93286514,30.6095562,34.77931595,32.06716919,26.16586876,19.7933445,15.65668106,24.72713089,18.99622154,40.66982269,33.18764114,48.15200806
HTI,Haiti,1992,31.29793549,23.87530708,38.93488693,29.23784828,11.49815273,3.597111225,19.39919472,50.77893066,43.42733002,55.53583145,23.62477303,27.69176674,32.11764908,25.67113876,26.54718208,19.94393158,15.64532566,24.73119926,19.45526695,40.48516083,32.79836655,48.17194748
HTI,Haiti,1993,31.94650459,24.87734795,39.22013092,31.03174019,14.87173653,6.124537468,23.61893272,50.66066742,43.42742538,55.33731461,23.48206711,27.67276382,32.61841202,24.79048347,27.01978874,19.68973732,15.62921619,24.73903084,18.70096016,40.84255219,32.35327148,49.33182907
HTI,Haiti,1994,32.53618622,23.61558723,41.71599197,29.97971153,12.90908909,3.597679138,22.22050285,50.72638702,43.98317719,55.07997513,26.46772575,26.24316788,31.5521965,20.81542015,27.87759018,26.6709137,16.01352882,32.94826126,31.05094719,40.64587402,31.94454575,49.34720993
HTI,Haiti,1995,35.00962067,27.69797516,42.53627396,35.93296814,23.90745354,23.7396965,24.07521057,50.56471252,43.97935486,54.80408859,27.60687828,29.1812706,40.96256638,21.44790077,28.49608803,26.18227959,16.38951111,31.27083588,30.8864994,41.21910095,30.14633942,52.29187012
HTI,Haiti,1996,34.97625351,27.35692024,42.82538223,34.92744064,22.26238823,23.21004677,21.3147316,50.3711586,44.00500488,54.44649124,27.94880867,30.14521408,39.84017181,24.89198875,28.46296501,25.96079826,16.35531616,31.22838211,30.29870224,41.71477509,29.92770767,53.50184631
HTI,Haiti,1997,35.96668625,27.577631,44.6140976,37.03142548,22.95264435,26.12508392,19.78020477,54.23140335,44.56282043,60.39096451,28.28023529,30.06097412,39.86213684,24.56981659,28.53440475,26.6680603,16.3136673,32.9465332,30.74398994,42.32120132,29.95436096,54.68803406
HTI,Haiti,1998,35.32605743,25.28024864,45.68590546,35.47217941,20.08891487,19.31422997,20.86359978,54.28889465,44.56735992,60.46268463,28.50174141,27.2827282,41.35256195,23.87413025,20.60569763,29.60569572,16.65052795,34.02893066,38.13763046,41.69550705,28.65811348,54.73289871
HTI,Haiti,1999,35.88283539,25.47732162,46.61687469,35.94128418,20.56341743,20.53698921,20.58984375,54.76279831,45.65636826,60.53695297,29.17326736,27.45342636,41.91430283,23.87853813,20.64638901,30.73139763,17.3796711,36.72092819,38.09360123,42.22386932,28.60091782,55.84681702
HTI,Haiti,2000,36.85028839,26.71149826,47.31007004,38.00666809,24.11372948,27.76210022,20.46535873,55.00848389,46.15071869,60.62686539,29.98044777,27.58607101,42.97096634,23.55745697,20.55290222,32.15056229,18.48827744,40.07807159,37.88534164,42.34773636,28.51661491,56.1788559
HTI,Haiti,2001,36.74930573,27.46054268,46.33303833,39.18392563,26.22013855,29.76285553,22.67741585,55.04377747,46.05201721,60.75168228,28.56278419,27.70333481,42.49272156,24.47543144,20.27407455,29.34218407,19.20089531,38.11294174,30.71272659,42.34228134,28.48078156,56.20378113
HTI,Haiti,2002,37.40625,28.21310043,46.89118958,41.09532547,28.60856628,35.12945557,22.08767509,56.36344147,49.0955162,60.98340225,29.26231766,27.42495155,42.37723541,24.45369339,19.60365295,30.92930412,21.52408791,40.82362747,30.44019508,41.81953049,28.53270149,55.10634995
HTI,Haiti,2003,39.60841751,31.72605133,47.74094772,45.58121109,37.07606506,47,27.15212822,55.97572327,42.55012131,64.52068329,30.22790718,27.74045753,43.72002792,24.88233185,19.0445137,32.48573303,23.84000969,43.39570618,30.22147942,43.12595749,29.99370956,56.25819778
HTI,Haiti,2004,39.55575943,30.33265305,49.06939697,43.78462219,33.13633347,40.7183609,25.55429268,56.7840271,35.32170105,70.48287201,31.19591141,27.61872864,43.90990448,24.90433884,18.54117012,34.44378662,24.56668854,48.82612228,29.93854904,43.68437195,29.9930706,57.3756752
HTI,Haiti,2005,40.5480423,29.81382561,51.6160965,46.35768509,31.539217,38.60459137,24.47383881,64.42119598,55.2947197,70.26860046,32.10144424,28.5424366,45.4652977,25.58636665,19.2429142,35.33325577,25.30858421,51.02341461,29.6677742,43.31858063,29.24295044,57.39421082
HTI,Haiti,2006,42.06727219,31.11729813,53.35234833,48.22739792,35.00323868,41.18669891,28.81977272,64.31729889,55.07328796,70.26844025,34.6621933,28.8510437,45.67544937,26.19220924,19.31627274,39.94018173,29.33926392,53.93704605,36.5442543,43.52111053,29.28970528,57.7525177
HTI,Haiti,2007,42.83031464,30.31614304,55.72198486,47.08844757,32.40186691,36.80920792,27.99452782,64.93339539,57.37278748,69.81769562,35.6846199,29.05146408,46.61385345,26.67645073,18.70241737,41.70864487,33.1638298,55.61912918,36.34299088,45.76659012,29.37895393,62.15422821
HTI,Haiti,2008,44.0141716,31.66580963,56.72758865,50.32281876,36.2310791,42.52853394,29.93362045,67.41897583,63.2498703,70.12274933,36.1272583,29.12323189,47.52642441,26.51859856,18.41720009,42.48523712,34.56108475,56.74520111,36.14943314,45.78300858,29.40859604,62.15742493
HTI,Haiti,2009,44.03834152,31.44212532,57.00222397,50.03386688,36.1427269,43.46351242,28.82193184,66.87281799,62.88706589,69.46308899,36.27932739,28.84662628,46.94561005,26.09546661,18.52709579,43.02370834,34.84980011,58.44740295,35.77392578,45.96736526,29.09667587,62.83805847
HTI,Haiti,2010,45.45323944,34.54013062,56.68141937,52.72288895,43.49700165,57.02220154,29.97179985,63.90014648,55.70565414,69.23339081,36.98204803,30.17286301,50.21776199,26.62875175,19.26535416,43.15789795,35.04681778,58.99853897,35.42834473,46.89540863,29.54432487,64.24649811
HTI,Haiti,2011,44.77568054,32.98339462,56.90418243,50.84149933,39.55969238,51.07747269,28.04191208,64.4982605,56.2169342,69.89930725,36.52543259,29.43371964,47.55554962,26.78934669,19.02965546,42.95535278,35.20745468,58.67188644,34.98671722,47.10253525,29.62550354,64.57957458
HTI,Haiti,2012,45.3125267,32.55939865,58.42616653,51.56230545,39.30309296,49.47813034,29.12805939,66.39096069,61.23564529,69.75969696,36.41560364,28.21980858,43.25060654,26.9235096,18.69558334,43.84614182,37.29170227,59.58570099,34.66102982,48.08580017,29.75011444,66.42149353
HTI,Haiti,2013,46.91111374,32.13905334,62.10025024,52.03298187,39.50440216,50.68321609,28.32558441,67.18635559,63.26690292,69.74799347,40.7010498,26.50447464,38.80623245,25.66109276,18.49313164,53.5716362,66.88159943,59.32278442,34.51052475,48.15288925,29.88201141,66.42376709
HTI,Haiti,2014,47.1772995,31.99737167,62.78953552,52.71673203,39.38978577,51.27762604,27.50195313,68.85087585,67.69296265,69.60585785,40.03568268,25.24638367,31.60234833,27.3196907,18.60012054,53.44205093,66.0530777,59.97571564,34.29737091,48.92746735,30.72465515,67.1302948
HTI,Haiti,2015,47.32515717,32.12586975,62.94875336,52.93966293,39.52377701,51.56983948,27.47771072,69.15586853,69.1349411,69.16957855,40.20463562,25.39531136,32.38689041,27.09664726,18.66898155,53.62543869,66.53085327,60.20667267,34.13879395,48.98215485,30.82748985,67.13682556
HUN,Hungary,1970,49.16313171,57.80918503,40.51710129,48.89322281,50.02140427,54.16696548,45.87584305,47.76504517,58.21995544,37.31013107,49.55621719,56.57373047,63.26005554,72.98660278,33.47454071,42.53870392,34.65353394,42.70666885,50.25590515,49.04000092,66.83242798,31.24757385
HUN,Hungary,1971,49.28367615,57.65190125,40.91546631,48.75450134,49.74396133,53.61207962,45.87584305,47.76504517,58.21995544,37.31013107,49.45901489,56.37932968,63.08913422,72.98660278,33.0622673,42.53870392,34.65353394,42.70666885,50.25590515,49.63754654,66.83242798,32.4426651
HUN,Hungary,1972,50.15721512,57.95159149,42.36284637,48.67126846,49.57749557,53.2791481,45.87584305,47.76504517,58.21995544,37.31013107,50.39460754,56.2959404,62.91820908,73.11349487,32.85612869,44.4932785,35.04315948,42.70666885,55.73000336,51.40578842,67.9813385,34.83023453
HUN,Hungary,1973,49.8781929,56.05963135,43.6967659,48.67126846,49.57749557,53.2791481,45.87584305,47.76504517,58.21995544,37.31013107,51.03720093,56.36465454,62.91820908,73.11349487,33.0622673,45.7097435,35.04315948,42.70666885,59.37940216,49.92613602,62.23675537,37.61551666
