"iso3c","year","FID","FIA","FIE","FMD","FMA","FME"
"FRA",2001,0.7005892,0.6285326,0.6713923,0.7927974,0.2923019,0.8077713
"FRA",2002,0.6987216,0.6339211,0.6882829,0.7490782,0.2794923,0.8578676
"FRA",2003,0.697883,0.6402711,0.6822281,0.8294722,0.3145763,0.9337237
"FRA",2004,0.7000075,0.6636056,0.6867221,0.8777295,0.2819371,0.954519
"FRA",2005,0.7020748,0.704834,0.6945693,0.8887918,0.2562197,0.9039193
"FRA",2006,0.7114556,0.9612586,0.6775302,0.9755306,0.369182,1
"FRA",2007,0.7219204,0.9893476,0.6860445,0.9752749,0.2825356,1
"FRA",2008,0.7303784,0.9856166,0.6804366,0.8415201,0.2200148,1
"FRA",2009,0.7365173,0.9567074,0.6991777,0.8642174,0.2757311,0.774779
"FRA",2010,0.7384979,0.9527014,0.7182617,0.8526201,0.2982477,0.7395436
"FRA",2011,0.7409784,0.9503255,0.7088284,0.7752025,0.3123741,0.8289056
"FRA",2012,0.7412316,0.9241897,0.6934143,0.8042127,0.3514308,0.6527122
"FRA",2013,0.7403751,0.9204079,0.7096396,0.8042355,0.3541062,0.6527122
"FRA",2014,0.7376969,0.9142417,0.683907,0.8040934,0.4040977,0.6527122
"DEU",1980,0.5873743,0.7070197,0.7557603,0.2721621,0.1809808,1
"DEU",1981,0.6026471,0.6927177,0.7246584,0.2533598,0.1669879,1
"DEU",1982,0.6098195,0.6786304,0.6888652,0.2348397,0.161535,1
"DEU",1983,0.6242014,0.6888112,0.7055274,0.2482239,0.1800461,1
"DEU",1984,0.6321096,0.7007944,0.724752,0.2639779,0.2130354,1
"DEU",1985,0.6393473,0.7001752,0.7201435,0.2631639,0.2269353,1
"DEU",1986,0.6341147,0.699752,0.7218928,0.2626075,0.2636686,1
"DEU",1987,0.6357514,0.6980175,0.7178332,0.2603272,0.2346543,1
"DEU",1988,0.6324233,0.699412,0.7219961,0.2621606,0.2422611,1
"DEU",1989,0.6322769,0.7139644,0.7443814,0.3803317,0.3222588,1
"DEU",1990,0.6619182,0.7198156,0.7410937,0.2551831,0.2817766,1
"DEU",1991,0.6421231,0.7130389,0.7383747,0.2213572,0.2687865,0.9967558
"DEU",1992,0.6497725,0.7040141,0.7122707,0.1893465,0.2593634,1
"DEU",1993,0.6754888,0.6907641,0.6738124,0.196748,0.3074692,0.7337667
"DEU",1994,0.6893765,0.7045488,0.6919789,0.2166354,0.3452348,0.9691879
"DEU",1995,0.6944662,0.7047837,0.684405,0.2342718,0.3654008,1
"DEU",1996,0.7101499,0.7156693,0.6890061,0.3116201,0.434842,1
"DEU",1997,0.7198181,0.7272345,0.6936446,0.3922407,0.5172912,0.7036757
"DEU",1998,0.7312053,0.7295882,0.6892871,0.544871,0.6033851,0.7801616
"DEU",1999,0.731229,0.7047992,0.6348851,0.6111668,0.6940948,0.633829
"DEU",2000,0.7281608,0.7112111,0.6457317,0.674577,0.6146109,0.777471
"DEU",2001,0.7236149,0.7113649,0.6414961,0.7250863,0.5994837,1
"DEU",2002,0.7277187,0.7111829,0.6311659,0.6228209,0.6038128,1
"DEU",2003,0.7354591,0.716675,0.5893678,0.687325,0.6508171,1
"DEU",2004,0.734157,0.7320203,0.6392503,0.6798401,0.6826472,1
"DEU",2005,0.7507744,0.7200992,0.6482337,0.7201474,0.6565915,1
"DEU",2006,0.7438521,0.681871,0.6585673,0.7999448,0.7385762,1
"DEU",2007,0.7244751,0.6777166,0.6706843,0.8250629,0.6820242,1
"DEU",2008,0.7237895,0.6777431,0.643884,0.684621,0.6339447,1
"DEU",2009,0.754674,0.6726835,0.6338021,0.6800166,0.6174369,1
"DEU",2010,0.7317921,0.6709902,0.6437688,0.6809688,0.5818429,1
"DEU",2011,0.7118841,0.6691968,0.631394,0.6300383,0.591059,1
"DEU",2012,0.7189243,0.6542811,0.6361262,0.6551358,0.6605603,0.9017775
"DEU",2013,0.7100273,0.6620812,0.6290218,0.6609648,0.6693563,0.9017775
"DEU",2014,0.7179841,0.6585337,0.6415166,0.6592768,0.6594178,0.9017775
"ITA",1980,0.3608485,0.5838665,0.6118046,0.0906109,0.1647124,0.1712169
"ITA",1981,0.3487169,0.5738841,0.6354609,0.0890617,0.1667395,0.1682896
"ITA",1982,0.3345635,0.5619967,0.6557971,0.0872169,0.168192,0.1648037
"ITA",1983,0.3213182,0.5506474,0.5803667,0.0854556,0.169627,0.1614755
"ITA",1984,0.329922,0.5351297,0.5506728,0.0830474,0.1791611,0.156925
"ITA",1985,0.3258135,0.6836634,0.6660518,0.1060985,0.2298245,0.200482
"ITA",1986,0.3261209,0.6849589,0.6667829,0.1062996,0.2527424,0.2008619
"ITA",1987,0.3297035,0.7145383,0.6842933,0.11089,0.2420789,0.209536
"ITA",1988,0.3449305,0.7139629,0.6727223,0.1108007,0.2621951,0.2093672
"ITA",1989,0.3473866,0.6973932,0.6582606,0.1331719,0.3092862,0.2516395
"ITA",1990,0.3639413,0.6801276,0.6304583,0.0939286,0.2496548,0.263056
"ITA",1991,0.4410701,0.7482979,0.6292278,0.0896719,0.2165067,0.1594577
"ITA",1992,0.4580358,0.77544,0.6308213,0.0733774,0.2164002,0.191746
"ITA",1993,0.4740867,0.778433,0.6208201,0.1031916,0.2396098,0.4874655
"ITA",1994,0.4740309,0.7880193,0.626269,0.1559301,0.3536126,0.7325234
"ITA",1995,0.4786601,0.7824608,0.6147255,0.1476253,0.3696229,0.4382983
"ITA",1996,0.4771376,0.7826489,0.6215469,0.1643797,0.3925031,0.4300847
"ITA",1997,0.5149903,0.8051496,0.6276053,0.2454303,0.4741754,0.6462516
"ITA",1998,0.5620961,0.8170581,0.6439849,0.4311729,0.5998855,1
"ITA",1999,0.5967457,0.8567841,0.6737293,0.5278501,0.6752821,0.812243
"ITA",2000,0.6057036,0.8503571,0.6707939,0.6830592,0.6680679,1
"ITA",2001,0.6179544,0.8482591,0.6680472,0.5256798,0.7621686,0.8374233
"ITA",2002,0.6403118,0.8546738,0.6597522,0.5370727,0.7161159,1
"ITA",2003,0.6718313,0.8645891,0.6599207,0.5786067,0.6636066,1
"ITA",2004,0.6611633,0.8713841,0.6710291,0.5984082,0.6787705,1
"ITA",2005,0.6351866,0.8772071,0.6594542,0.6312382,0.6340057,1
"ITA",2006,0.6347442,0.8998991,0.6600978,0.7338628,0.6548588,1
"ITA",2007,0.5863801,0.9368184,0.6731551,0.7581818,0.6894409,1
"ITA",2008,0.5042005,0.9960583,0.6945403,0.4847861,0.6573428,0.824966
"ITA",2009,0.5880154,1,0.6747499,0.4906056,0.6920564,1
"ITA",2010,0.5880558,1,0.6651155,0.52341,0.6127483,1
"ITA",2011,0.5536388,1,0.6209597,0.5942361,0.6380017,1
"ITA",2012,0.5554731,0.9972153,0.6362158,0.5960902,0.7609261,1
